"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHUCUITO (000)",63274,35576,285,673,25200,621,12,87,114,706
"Hombres (001)",26602,18943,203,383,6204,325,8,48,113,375
"Mujeres (002)",36672,16633,82,290,18996,296,4,39,1,331
"De 06 a 14 años (003)",24712,23841,,,372,223,,8,,268
"Hombres (004)",12707,12277,,,171,115,,7,,137
"Mujeres (005)",12005,11564,,,201,108,,1,,131
"De 15 a 29 años (006)",19347,11353,19,195,7498,,5,19,114,144
"Hombres (007)",8509,6450,9,116,1727,,2,9,113,83
"Mujeres (008)",10838,4903,10,79,5771,,3,10,1,61
"De 30 a 44 años (009)",7241,321,24,177,6613,,6,16,,84
"Hombres (010)",1593,188,15,89,1246,,5,9,,41
"Mujeres (011)",5648,133,9,88,5367,,1,7,,43
"De 45 a 64 años (012)",6452,53,99,173,5998,11,1,14,,103
"Hombres (013)",1676,27,65,112,1405,5,1,9,,52
"Mujeres (014)",4776,26,34,61,4593,6,,5,,51
"De 65 y más años (015)",5522,8,143,128,4719,387,,30,,107
"Hombres (016)",2117,1,114,66,1655,205,,14,,62
"Mujeres (017)",3405,7,29,62,3064,182,,16,,45
,,,,,,,,,,
"AREA URBANA (018)",17429,10298,170,411,6092,138,5,20,78,217
"Hombres (019)",7714,5410,111,229,1685,76,3,9,77,114
"Mujeres (020)",9715,4888,59,182,4407,62,2,11,1,103
"De 06 a 14 años (021)",6677,6416,,,131,61,,,,69
"Hombres (022)",3435,3294,,,69,36,,,,36
"Mujeres (023)",3242,3122,,,62,25,,,,33
"De 15 a 29 años (024)",6094,3735,5,119,2098,,2,4,78,53
"Hombres (025)",2742,2025,3,69,539,,1,,77,28
"Mujeres (026)",3352,1710,2,50,1559,,1,4,1,25
"De 30 a 44 años (027)",2059,122,9,110,1778,,2,6,,32
"Hombres (028)",555,77,5,54,398,,1,4,,16
"Mujeres (029)",1504,45,4,56,1380,,1,2,,16
"De 45 a 64 años (030)",1594,22,66,104,1362,5,1,3,,31
"Hombres (031)",525,13,37,66,386,2,1,2,,18
"Mujeres (032)",1069,9,29,38,976,3,,1,,13
"De 65 y más años (033)",1005,3,90,78,723,72,,7,,32
"Hombres (034)",457,1,66,40,293,38,,3,,16
"Mujeres (035)",548,2,24,38,430,34,,4,,16
,,,,,,,,,,
"AREA RURAL (036)",45845,25278,115,262,19108,483,7,67,36,489
"Hombres (037)",18888,13533,92,154,4519,249,5,39,36,261
"Mujeres (038)",26957,11745,23,108,14589,234,2,28,,228
"De 06 a 14 años (039)",18035,17425,,,241,162,,8,,199
"Hombres (040)",9272,8983,,,102,79,,7,,101
"Mujeres (041)",8763,8442,,,139,83,,1,,98
"De 15 a 29 años (042)",13253,7618,14,76,5400,,3,15,36,91
"Hombres (043)",5767,4425,6,47,1188,,1,9,36,55
"Mujeres (044)",7486,3193,8,29,4212,,2,6,,36
"De 30 a 44 años (045)",5182,199,15,67,4835,,4,10,,52
"Hombres (046)",1038,111,10,35,848,,4,5,,25
"Mujeres (047)",4144,88,5,32,3987,,,5,,27
"De 45 a 64 años (048)",4858,31,33,69,4636,6,,11,,72
"Hombres (049)",1151,14,28,46,1019,3,,7,,34
"Mujeres (050)",3707,17,5,23,3617,3,,4,,38
"De 65 y más años (051)",4517,5,53,50,3996,315,,23,,75
"Hombres (052)",1660,,48,26,1362,167,,11,,46
"Mujeres (053)",2857,5,5,24,2634,148,,12,,29
