"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia AREQUIPA (000)",207097,854493,200486,833685,6611,20808
"Casa independiente (001)",190141,796542,184328,777704,5813,18838
"Departamento en edificio (002)",8068,27236,8068,27236,,
"Vivienda en quinta (003)",3480,13069,3480,13069,,
"Vivienda en casa de vecindad (004)",3430,12429,3430,12429,,
"Choza o cabaña (005)",789,1944,,,789,1944
"Vivienda improvisada (006)",771,2133,771,2133,,
"Local no dest.para hab. humana (007)",356,985,351,972,5,13
"Otro tipo (008)",62,155,58,142,4,13
