"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PASCO (000)",37383,34195,149,7812,7464,5606,7165,3842,1671,486,3188,115030
"De 12 a 14 años (001)",56,29,1,21,7,,,,,,27,35
"De 15 a 19 años (002)",800,683,12,583,73,7,8,,,,117,782
"De 20 a 24 años (003)",4491,3281,25,2230,837,147,33,9,,,1210,4543
"De 25 a 29 años (004)",5609,4661,25,1954,1730,695,234,20,3,,948,8630
"De 30 a 34 años (005)",4991,4632,16,1144,1640,1051,700,67,9,5,359,11110
"De 35 a 39 años (006)",5015,4817,16,641,1281,1259,1282,283,47,8,198,14807
"De 40 a 44 años (007)",4135,4024,16,359,700,888,1390,511,139,21,111,15192
"De 45 a 49 años (008)",3281,3231,6,242,428,531,1102,642,227,53,50,14175
"De 50 y más años (009)",9005,8837,32,638,768,1028,2416,2310,1246,399,168,45756
"Sin nivel (010)",4450,4344,14,334,424,493,1115,1100,658,206,106,22495
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",17,15,,9,5,,1,,,,2,23
"De 20 a 24 años (013)",75,68,,32,25,7,2,2,,,7,125
"De 25 a 29 años (014)",111,98,,20,32,21,23,1,1,,13,258
"De 30 a 34 años (015)",144,135,,19,37,34,33,11,,1,9,418
"De 35 a 39 años (016)",196,188,1,19,36,34,56,29,12,1,8,734
"De 40 a 44 años (017)",263,254,2,11,23,36,91,63,23,5,9,1217
"De 45 a 49 años (018)",323,319,,17,26,31,94,91,48,12,4,1710
"De 50 y más años (019)",3320,3266,11,206,240,330,815,903,574,187,54,18009
"Educacion Inicial (020)",37,36,,13,12,4,7,,,,1,82
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
