"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia EL DORADO (000)",30962,1833,4027,4525,3340,5582,4421,5845,1389
"Sabe leer y escribir (001)",25065,,2699,4404,3251,5318,4066,4551,776
"No sabe leer y escribir (002)",5897,1833,1328,121,89,264,355,1294,613
"Hombres (004)",16598,905,2060,2417,1809,2993,2436,3254,724
"Sabe leer y escribir (005)",14071,,1359,2337,1773,2894,2326,2866,516
"No sabe leer y escribir (006)",2527,905,701,80,36,99,110,388,208
"Mujeres (008)",14364,928,1967,2108,1531,2589,1985,2591,665
"Sabe leer y escribir (009)",10994,,1340,2067,1478,2424,1740,1685,260
"No sabe leer y escribir (010)",3370,928,627,41,53,165,245,906,405
,,,,,,,,,
"URBANA (012)",12200,603,1432,1770,1308,2018,1823,2605,641
"Sabe leer y escribir (013)",10481,,1063,1743,1293,1959,1760,2245,418
"No sabe leer y escribir (014)",1719,603,369,27,15,59,63,360,223
"Hombres (016)",6339,280,727,926,677,1034,950,1431,314
"Sabe leer y escribir (017)",5630,,530,909,670,1011,932,1338,240
"No sabe leer y escribir (018)",709,280,197,17,7,23,18,93,74
"Mujeres (020)",5861,323,705,844,631,984,873,1174,327
"Sabe leer y escribir (021)",4851,,533,834,623,948,828,907,178
"No sabe leer y escribir (022)",1010,323,172,10,8,36,45,267,149
,,,,,,,,,
"RURAL (024)",18762,1230,2595,2755,2032,3564,2598,3240,748
"Sabe leer y escribir (025)",14584,,1636,2661,1958,3359,2306,2306,358
"No sabe leer y escribir (026)",4178,1230,959,94,74,205,292,934,390
"Hombres (028)",10259,625,1333,1491,1132,1959,1486,1823,410
"Sabe leer y escribir (029)",8441,,829,1428,1103,1883,1394,1528,276
"No sabe leer y escribir (030)",1818,625,504,63,29,76,92,295,134
"Mujeres (032)",8503,605,1262,1264,900,1605,1112,1417,338
"Sabe leer y escribir (033)",6143,,807,1233,855,1476,912,778,82
"No sabe leer y escribir (034)",2360,605,455,31,45,129,200,639,256
