"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ZARUMILLA (000)",592,16,314,177,73,12
"Conviviente (001)",227,,108,96,21,2
"Separado(a) (002)",30,,9,11,8,2
"Casado(a) (003)",82,1,21,27,29,4
"Viudo(a) (004)",7,,,2,1,4
"Divorciado(a) (005)",1,,,1,,
"Soltero(a) (006)",245,15,176,40,14,
"Hombres (008)",409,9,196,132,62,10
"Conviviente (009)",148,,60,71,15,2
"Separado(a) (010)",15,,1,5,7,2
"Casado(a) (011)",68,1,13,24,27,3
"Viudo(a) (012)",4,,,1,,3
"Soltero(a) (014)",174,8,122,31,13,
"Mujeres (016)",183,7,118,45,11,2
"Conviviente (017)",79,,48,25,6,
"Separado(a) (018)",15,,8,6,1,
"Casado(a) (019)",14,,8,3,2,1
"Viudo(a) (020)",3,,,1,1,1
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",71,7,54,9,1,
,,,,,,
"AREA URBANA (024)",538,15,285,163,65,10
"Conviviente (025)",207,,101,86,19,1
"Separado(a) (026)",29,,9,11,8,1
"Casado(a) (027)",76,1,20,24,27,4
"Viudo(a) (028)",7,,,2,1,4
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",218,14,155,39,10,
"Hombres (032)",364,8,173,121,54,8
"Conviviente (033)",132,,55,63,13,1
"Separado(a) (034)",14,,1,5,7,1
"Casado(a) (035)",62,1,12,21,25,3
"Viudo(a) (036)",4,,,1,,3
"Soltero(a) (038)",152,7,105,31,9,
"Mujeres (040)",174,7,112,42,11,2
"Conviviente (041)",75,,46,23,6,
"Separado(a) (042)",15,,8,6,1,
"Casado(a) (043)",14,,8,3,2,1
"Viudo(a) (044)",3,,,1,1,1
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",66,7,50,8,1,
,,,,,,
"AREA RURAL (048)",54,1,29,14,8,2
"Conviviente (049)",20,,7,10,2,1
"Separado(a) (050)",1,,,,,1
"Casado(a) (051)",6,,1,3,2,
"Soltero(a) (054)",27,1,21,1,4,
"Hombres (056)",45,1,23,11,8,2
"Conviviente (057)",16,,5,8,2,1
"Separado(a) (058)",1,,,,,1
"Casado(a) (059)",6,,1,3,2,
"Soltero(a) (062)",22,1,17,,4,
"Mujeres (064)",9,,6,3,,
"Conviviente (065)",4,,2,2,,
"Soltero(a) (070)",5,,4,1,,
