"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LIMA (000)",122108,1967,63950,32635,20421,3135
"Sin nivel (001)",1385,31,265,458,448,183
"Educación inicial (002)",141,16,91,34,,
"Primaria (003)",11343,523,2920,3052,3660,1188
"Secundaria (004)",57388,1397,33834,13509,7702,946
"Superior no univ. incompleta (005)",12854,,8492,2900,1344,118
"Superior no univ. completa (006)",13792,,6711,4565,2333,183
"Superior univ. incompleta (007)",10578,,6652,2346,1444,136
"Superior univ. completa (008)",14627,,4985,5771,3490,381
"Hombres (010)",70645,1045,35208,18070,13837,2485
"Sin nivel (011)",626,21,149,192,174,90
"Educación inicial (012)",84,12,56,16,,
"Primaria (013)",6848,289,1613,1570,2414,962
"Secundaria (014)",35910,723,20329,8418,5664,776
"Superior no univ. incompleta (015)",6891,,4282,1588,922,99
"Superior no univ. completa (016)",6408,,2934,2061,1283,130
"Superior univ. incompleta (017)",6279,,3658,1423,1078,120
"Superior univ. completa (018)",7599,,2187,2802,2302,308
"Mujeres (020)",51463,922,28742,14565,6584,650
"Sin nivel (021)",759,10,116,266,274,93
"Educación inicial (022)",57,4,35,18,,
"Primaria (023)",4495,234,1307,1482,1246,226
"Secundaria (024)",21478,674,13505,5091,2038,170
"Superior no univ. incompleta (025)",5963,,4210,1312,422,19
"Superior no univ. completa (026)",7384,,3777,2504,1050,53
"Superior univ. incompleta (027)",4299,,2994,923,366,16
"Superior univ. completa (028)",7028,,2798,2969,1188,73
,,,,,,
"Area Urbana (030)",122001,1966,63893,32607,20403,3132
"Sin nivel (031)",1372,31,262,453,444,182
"Educación inicial (032)",140,16,90,34,,
"Primaria (033)",11317,522,2913,3046,3650,1186
"Secundaria (034)",57340,1397,33801,13497,7699,946
"Superior no univ. incompleta (035)",12848,,8486,2900,1344,118
"Superior no univ. completa (036)",13789,,6710,4564,2332,183
"Superior univ. incompleta (037)",10573,,6647,2346,1444,136
"Superior univ. completa (038)",14622,,4984,5767,3490,381
"Hombres (040)",70566,1044,35167,18048,13824,2483
"Sin nivel (041)",617,21,147,188,172,89
"Educación inicial (042)",83,12,55,16,,
"Primaria (043)",6830,288,1610,1564,2407,961
"Secundaria (044)",35871,723,20302,8409,5661,776
"Superior no univ. incompleta (045)",6887,,4278,1588,922,99
"Superior no univ. completa (046)",6406,,2934,2060,1282,130
"Superior univ. incompleta (047)",6276,,3655,1423,1078,120
"Superior univ. completa (048)",7596,,2186,2800,2302,308
"Mujeres (050)",51435,922,28726,14559,6579,649
"Sin nivel (051)",755,10,115,265,272,93
"Educación inicial (052)",57,4,35,18,,
"Primaria (053)",4487,234,1303,1482,1243,225
"Secundaria (054)",21469,674,13499,5088,2038,170
"Superior no univ. incompleta (055)",5961,,4208,1312,422,19
"Superior no univ. completa (056)",7383,,3776,2504,1050,53
"Superior univ. incompleta (057)",4297,,2992,923,366,16
"Superior univ. completa (058)",7026,,2798,2967,1188,73
,,,,,,
"Area Rural (060)",107,1,57,28,18,3
"Sin nivel (061)",13,,3,5,4,1
"Educación inicial (062)",1,,1,,,
"Primaria (063)",26,1,7,6,10,2
"Secundaria (064)",48,,33,12,3,
"Superior no univ. incompleta (065)",6,,6,,,
"Superior no univ. completa (066)",3,,1,1,1,
"Superior univ. incompleta (067)",5,,5,,,
"Superior univ. completa (068)",5,,1,4,,
"Hombres (070)",79,1,41,22,13,2
"Sin nivel (071)",9,,2,4,2,1
"Educación inicial (072)",1,,1,,,
"Primaria (073)",18,1,3,6,7,1
"Secundaria (074)",39,,27,9,3,
"Superior no univ. incompleta (075)",4,,4,,,
"Superior no univ. completa (076)",2,,,1,1,
"Superior univ. incompleta (077)",3,,3,,,
"Superior univ. completa (078)",3,,1,2,,
"Mujeres (080)",28,,16,6,5,1
"Sin nivel (081)",4,,1,1,2,
"Primaria (083)",8,,4,,3,1
"Secundaria (084)",9,,6,3,,
"Superior no univ. incompleta (085)",2,,2,,,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",2,,,2,,
