"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CARHUAZ (000)",12769,1602,2054,7067,145,1591,310
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,49,,,,,
"Profes., científicos e intelectuales (002)",682,556,,121,4,1,
"Técnicos de nivel medio y trab. asimilados (003)",250,149,,87,12,2,
"Jefes y empleados de oficina (004)",274,274,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1094,173,7,738,31,145,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",5009,12,,4948,49,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",593,,231,309,23,30,
"Obreros construc.,conf., papel, fab., instr. (008)",786,139,264,357,11,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3705,175,1521,381,9,1309,310
"Otra (010)",33,33,,,,,
"Ocupación no especificada (011)",294,42,31,126,6,89,
"Hombres (012)",9458,1009,1811,5695,104,833,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",41,41,,,,,
"Profes., científicos e intelectuales (014)",391,304,,83,3,1,
"Técnicos de nivel medio y trab. asimilados (015)",174,90,,76,7,1,
"Jefes y empleados de oficina (016)",163,163,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",411,102,2,248,16,43,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",4524,9,,4476,39,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",500,,204,256,22,18,
"Obreros construc.,conf., papel, fab., instr. (020)",773,137,260,350,11,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2357,115,1327,164,3,742,6
"Otra (022)",33,33,,,,,
"Ocupación no especificada (023)",91,15,18,42,3,13,
"Mujeres (024)",3311,593,243,1372,41,758,304
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,8,,,,,
"Profes., científicos e intelectuales (026)",291,252,,38,1,,
"Técnicos de nivel medio y trab. asimilados (027)",76,59,,11,5,1,
"Jefes y empleados de oficina (028)",111,111,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",683,71,5,490,15,102,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",485,3,,472,10,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",93,,27,53,1,12,
"Obreros construc.,conf., papel, fab., instr. (032)",13,2,4,7,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1348,60,194,217,6,567,304
"Ocupación no especificada (035)",203,27,13,84,3,76,
,,,,,,,
"URBANA (036)",5200,1130,779,2495,102,546,148
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",30,30,,,,,
"Profes., científicos e intelectuales (038)",534,440,,89,4,1,
"Técnicos de nivel medio y trab. asimilados (039)",168,99,,59,9,1,
"Jefes y empleados de oficina (040)",187,187,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",801,121,3,529,29,119,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1100,,,1076,24,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",359,,109,208,19,23,
"Obreros construc.,conf., papel, fab., instr. (044)",466,93,134,222,6,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1371,106,519,241,6,351,148
"Otra (046)",29,29,,,,,
"Ocupación no especificada (047)",155,25,14,71,5,40,
"Hombres (048)",3409,678,674,1731,71,250,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",24,24,,,,,
"Profes., científicos e intelectuales (050)",299,235,,60,3,1,
"Técnicos de nivel medio y trab. asimilados (051)",113,57,,51,4,1,
"Jefes y empleados de oficina (052)",102,102,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",298,65,1,180,15,37,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",953,,,934,19,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",297,,95,170,19,13,
"Obreros construc.,conf., papel, fab., instr. (056)",458,92,132,217,6,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",781,65,437,91,2,181,5
"Otra (058)",29,29,,,,,
"Ocupación no especificada (059)",55,9,9,28,3,6,
"Mujeres (060)",1791,452,105,764,31,296,143
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",6,6,,,,,
"Profes., científicos e intelectuales (062)",235,205,,29,1,,
"Técnicos de nivel medio y trab. asimilados (063)",55,42,,8,5,,
"Jefes y empleados de oficina (064)",85,85,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",503,56,2,349,14,82,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",147,,,142,5,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",62,,14,38,,10,
"Obreros construc.,conf., papel, fab., instr. (068)",8,1,2,5,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",590,41,82,150,4,170,143
"Ocupación no especificada (071)",100,16,5,43,2,34,
,,,,,,,
"RURAL (072)",7569,472,1275,4572,43,1045,162
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",19,19,,,,,
"Profes., científicos e intelectuales (074)",148,116,,32,,,
"Técnicos de nivel medio y trab. asimilados (075)",82,50,,28,3,1,
"Jefes y empleados de oficina (076)",87,87,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",293,52,4,209,2,26,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3909,12,,3872,25,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",234,,122,101,4,7,
"Obreros construc.,conf., papel, fab., instr. (080)",320,46,130,135,5,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2334,69,1002,140,3,958,162
"Otra (082)",4,4,,,,,
"Ocupación no especificada (083)",139,17,17,55,1,49,
"Hombres (084)",6049,331,1137,3964,33,583,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",17,17,,,,,
"Profes., científicos e intelectuales (086)",92,69,,23,,,
"Técnicos de nivel medio y trab. asimilados (087)",61,33,,25,3,,
"Jefes y empleados de oficina (088)",61,61,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",113,37,1,68,1,6,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3571,9,,3542,20,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",203,,109,86,3,5,
"Obreros construc.,conf., papel, fab., instr. (092)",315,45,128,133,5,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1576,50,890,73,1,561,1
"Otra (094)",4,4,,,,,
"Ocupación no especificada (095)",36,6,9,14,,7,
"Mujeres (096)",1520,141,138,608,10,462,161
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",56,47,,9,,,
"Técnicos de nivel medio y trab. asimilados (099)",21,17,,3,,1,
"Jefes y empleados de oficina (100)",26,26,,,,,
