"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AYABACA (000)",93623,18214,16827,16481,14157,10970,16974
"Conviviente (001)",17886,330,3662,5818,3803,2164,2109
"Separado(a) (002)",1463,19,154,286,331,260,413
"Casado(a) (003)",33087,50,1825,6347,7965,7057,9843
"Viudo(a) (004)",4444,3,22,103,261,515,3540
"Divorciado(a) (005)",166,,6,21,30,37,72
"Soltero(a) (006)",36577,17812,11158,3906,1767,937,997
"Hombres (008)",48063,9418,9027,8351,7016,5552,8699
"Conviviente (009)",8743,75,1254,3030,2023,1185,1176
"Separado(a) (010)",388,6,19,60,72,69,162
"Casado(a) (011)",16434,15,530,2790,3826,3611,5662
"Viudo(a) (012)",1347,,9,28,67,135,1108
"Divorciado(a) (013)",68,,2,8,13,12,33
"Soltero(a) (014)",21083,9322,7213,2435,1015,540,558
"Mujeres (016)",45560,8796,7800,8130,7141,5418,8275
"Conviviente (017)",9143,255,2408,2788,1780,979,933
"Separado(a) (018)",1075,13,135,226,259,191,251
"Casado(a) (019)",16653,35,1295,3557,4139,3446,4181
"Viudo(a) (020)",3097,3,13,75,194,380,2432
"Divorciado(a) (021)",98,,4,13,17,25,39
"Soltero(a) (022)",15494,8490,3945,1471,752,397,439
,,,,,,,
"URBANA (024)",12162,2015,2124,2275,2089,1602,2057
"Conviviente (025)",2362,31,384,817,607,297,226
"Separado(a) (026)",283,2,18,61,71,64,67
"Casado(a) (027)",3897,1,92,604,1022,1001,1177
"Viudo(a) (028)",520,,3,15,28,55,419
"Divorciado(a) (029)",46,,1,3,8,15,19
"Soltero(a) (030)",5054,1981,1626,775,353,170,149
"Hombres (032)",6037,932,1113,1133,1009,825,1025
"Conviviente (033)",1163,10,132,405,321,173,122
"Separado(a) (034)",81,1,3,17,19,19,22
"Casado(a) (035)",1968,,25,247,486,537,673
"Viudo(a) (036)",135,,1,2,2,8,122
"Divorciado(a) (037)",20,,1,,3,5,11
"Soltero(a) (038)",2670,921,951,462,178,83,75
"Mujeres (040)",6125,1083,1011,1142,1080,777,1032
"Conviviente (041)",1199,21,252,412,286,124,104
"Separado(a) (042)",202,1,15,44,52,45,45
"Casado(a) (043)",1929,1,67,357,536,464,504
"Viudo(a) (044)",385,,2,13,26,47,297
"Divorciado(a) (045)",26,,,3,5,10,8
"Soltero(a) (046)",2384,1060,675,313,175,87,74
,,,,,,,
"RURAL (048)",81461,16199,14703,14206,12068,9368,14917
"Conviviente (049)",15524,299,3278,5001,3196,1867,1883
"Separado(a) (050)",1180,17,136,225,260,196,346
"Casado(a) (051)",29190,49,1733,5743,6943,6056,8666
"Viudo(a) (052)",3924,3,19,88,233,460,3121
"Divorciado(a) (053)",120,,5,18,22,22,53
"Soltero(a) (054)",31523,15831,9532,3131,1414,767,848
"Hombres (056)",42026,8486,7914,7218,6007,4727,7674
"Conviviente (057)",7580,65,1122,2625,1702,1012,1054
"Separado(a) (058)",307,5,16,43,53,50,140
"Casado(a) (059)",14466,15,505,2543,3340,3074,4989
"Viudo(a) (060)",1212,,8,26,65,127,986
"Divorciado(a) (061)",48,,1,8,10,7,22
"Soltero(a) (062)",18413,8401,6262,1973,837,457,483
"Mujeres (064)",39435,7713,6789,6988,6061,4641,7243
"Conviviente (065)",7944,234,2156,2376,1494,855,829
"Separado(a) (066)",873,12,120,182,207,146,206
"Casado(a) (067)",14724,34,1228,3200,3603,2982,3677
"Viudo(a) (068)",2712,3,11,62,168,333,2135
"Divorciado(a) (069)",72,,4,10,12,15,31
"Soltero(a) (070)",13110,7430,3270,1158,577,310,365
