"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BARRANCA (000)",132914,113295,19619
"Casa independiente (001)",124721,106452,18269
"Departamento en edificio (002)",1601,1601,
"Vivienda en quinta (003)",2422,2422,
"Vivienda en casa de vecindad (004)",1970,1970,
"Choza o cabaña (005)",1306,,1306
"Vivienda improvisada (006)",719,719,
"Local no dest.para hab. humana (007)",140,115,25
"Otro tipo (008)",35,16,19
