"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia QUISPICANCHI (000)",25843,57,880,422,376,2122,9343,1884,2465,7179,210,905
"Agric., ganadería, caza y silvicultura (001)",14065,,9,11,1,,9339,7,14,4684,,
"Pesca (002)",4,,,,,,4,,,,,
"Explotación de minas y canteras (003)",320,,2,5,2,,,81,7,223,,
"Industrias manufactureras (004)",1696,,6,17,6,6,,1506,153,2,,
"Suministro de electricidad, gas y agua (005)",50,,2,9,2,,,10,5,22,,
"Construcción (006)",2149,2,77,86,43,,,114,1194,633,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2137,,5,35,8,1590,,145,25,329,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",160,,2,4,1,28,,106,18,1,,
"Comercio al por mayor (009)",86,,,7,5,61,,2,3,8,,
"Comercio al por menor (010)",1891,,3,24,2,1501,,37,4,320,,
"Hoteles y restaurantes (011)",794,,4,23,17,378,,2,1,369,,
"Trans., almac. y comunicaciones (012)",1164,,2,15,37,23,,,936,151,,
"Intermediación financiera (013)",8,,1,3,4,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",325,,52,63,47,73,,3,27,60,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",833,46,36,19,163,19,,8,47,285,210,
"Enseñanza (016)",624,9,592,1,7,,,,1,14,,
"Servicios sociales y de salud (017)",189,,64,73,7,4,,5,6,30,,
"Otras activ. serv.comun.soc y personales (018)",308,,27,48,15,29,,3,49,137,,
"Hogares privados con servicio doméstico (019)",238,,,,,,,,,238,,
"Actividad economica no especificada (021)",939,,1,14,17,,,,,2,,905
"Hombres (022)",17484,43,502,291,223,708,7676,1197,2353,3829,202,460
"Agric., ganadería, caza y silvicultura (023)",9996,,8,10,1,,7674,7,13,2283,,
"Pesca (024)",2,,,,,,2,,,,,
"Explotación de minas y canteras (025)",307,,2,5,2,,,80,7,211,,
"Industrias manufactureras (026)",939,,4,11,4,,,826,93,1,,
"Suministro de electricidad, gas y agua (027)",47,,2,9,,,,9,5,22,,
"Construcción (028)",2046,2,64,82,36,,,112,1161,589,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",815,,3,17,5,519,,143,24,104,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",152,,1,4,1,22,,106,17,1,,
"Comercio al por mayor (031)",61,,,5,3,40,,2,3,8,,
"Comercio al por menor (032)",602,,2,8,1,457,,35,4,95,,
"Hoteles y restaurantes (033)",146,,3,7,7,75,,2,1,51,,
"Trans., almac. y comunicaciones (034)",1110,,1,8,29,19,,,919,134,,
"Intermediación financiera (035)",2,,,1,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",261,,40,43,26,73,,3,27,49,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",679,35,29,15,89,14,,8,47,240,202,
"Enseñanza (038)",326,6,300,1,6,,,,1,12,,
"Servicios sociales y de salud (039)",74,,20,34,3,1,,4,6,6,,
"Otras activ. serv.comun.soc y personales (040)",207,,25,39,7,7,,3,49,77,,
"Hogares privados con servicio doméstico (041)",48,,,,,,,,,48,,
"Actividad economica no especificada (043)",479,,1,9,7,,,,,2,,460
"Mujeres (044)",8359,14,378,131,153,1414,1667,687,112,3350,8,445
"Agric., ganadería, caza y silvicultura (045)",4069,,1,1,,,1665,,1,2401,,
"Pesca (046)",2,,,,,,2,,,,,
"Explotación de minas y canteras (047)",13,,,,,,,1,,12,,
"Industrias manufactureras (048)",757,,2,6,2,6,,680,60,1,,
"Suministro de electricidad, gas y agua (049)",3,,,,2,,,1,,,,
"Construcción (050)",103,,13,4,7,,,2,33,44,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1322,,2,18,3,1071,,2,1,225,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",8,,1,,,6,,,1,,,
"Comercio al por mayor (053)",25,,,2,2,21,,,,,,
"Comercio al por menor (054)",1289,,1,16,1,1044,,2,,225,,
"Hoteles y restaurantes (055)",648,,1,16,10,303,,,,318,,
"Trans., almac. y comunicaciones (056)",54,,1,7,8,4,,,17,17,,
"Intermediación financiera (057)",6,,1,2,3,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",64,,12,20,21,,,,,11,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",154,11,7,4,74,5,,,,45,8,
"Enseñanza (060)",298,3,292,,1,,,,,2,,
"Servicios sociales y de salud (061)",115,,44,39,4,3,,1,,24,,
"Otras activ. serv.comun.soc y personales (062)",101,,2,9,8,22,,,,60,,
"Hogares privados con servicio doméstico (063)",190,,,,,,,,,190,,
"Actividad economica no especificada (065)",460,,,5,10,,,,,,,445
,,,,,,,,,,,,
"URBANA (066)",10764,46,720,354,297,1674,1740,1299,1694,2357,143,440
"Agric., ganadería, caza y silvicultura (067)",2670,,6,10,,,1738,6,7,903,,
"Pesca (068)",2,,,,,,2,,,,,
"Explotación de minas y canteras (069)",158,,2,5,2,,,34,6,109,,
"Industrias manufactureras (070)",1170,,6,10,4,4,,1049,95,2,,
"Suministro de electricidad, gas y agua (071)",41,,2,9,2,,,9,5,14,,
"Construcción (072)",1122,,34,58,21,,,74,674,261,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1663,,5,32,8,1243,,111,23,241,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",128,,2,4,1,24,,79,17,1,,
"Comercio al por mayor (075)",57,,,7,5,34,,2,2,7,,
"Comercio al por menor (076)",1478,,3,21,2,1185,,30,4,233,,
"Hoteles y restaurantes (077)",593,,4,18,9,302,,1,1,258,,
"Trans., almac. y comunicaciones (078)",954,,2,12,27,16,,,793,104,,
"Intermediación financiera (079)",8,,1,3,4,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",278,,50,60,42,62,,3,15,46,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",535,38,31,16,137,18,,4,26,122,143,
"Enseñanza (082)",521,8,493,1,7,,,,1,11,,
"Servicios sociales y de salud (083)",158,,58,62,7,4,,5,6,16,,
"Otras activ. serv.comun.soc y personales (084)",254,,26,45,12,25,,3,42,101,,
"Hogares privados con servicio doméstico (085)",167,,,,,,,,,167,,
"Actividad economica no especificada (087)",470,,,13,15,,,,,2,,440
"Hombres (088)",6891,35,398,243,167,521,1379,805,1627,1331,139,246
"Agric., ganadería, caza y silvicultura (089)",1959,,6,9,,,1378,6,6,554,,
"Pesca (090)",1,,,,,,1,,,,,
"Explotación de minas y canteras (091)",150,,2,5,2,,,33,6,102,,
"Industrias manufactureras (092)",634,,4,7,3,,,561,58,1,,
"Suministro de electricidad, gas y agua (093)",38,,2,9,,,,8,5,14,,
"Construcción (094)",1091,,31,55,17,,,73,662,253,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",594,,3,16,5,371,,109,22,68,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",121,,1,4,1,19,,79,16,1,,
"Comercio al por mayor (097)",36,,,5,3,17,,2,2,7,,
"Comercio al por menor (098)",437,,2,7,1,335,,28,4,60,,
"Hoteles y restaurantes (099)",91,,3,6,2,55,,1,1,23,,
"Trans., almac. y comunicaciones (100)",905,,1,5,22,12,,,777,88,,
"Intermediación financiera (101)",2,,,1,1,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",219,,38,41,23,62,,3,15,37,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",418,29,24,12,74,14,,4,26,96,139,
