"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAYLAS (000)",50297,2586,6390,7019,5130,7693,6781,10346,4352
"Sabe leer y escribir (001)",37489,,3767,6755,4850,6801,5658,7386,2272
"No sabe leer y escribir (002)",12808,2586,2623,264,280,892,1123,2960,2080
"Hombres (004)",24734,1297,3267,3569,2598,3743,3296,5049,1915
"Sabe leer y escribir (005)",20134,,1942,3453,2519,3549,3073,4245,1353
"No sabe leer y escribir (006)",4600,1297,1325,116,79,194,223,804,562
"Mujeres (008)",25563,1289,3123,3450,2532,3950,3485,5297,2437
"Sabe leer y escribir (009)",17355,,1825,3302,2331,3252,2585,3141,919
"No sabe leer y escribir (010)",8208,1289,1298,148,201,698,900,2156,1518
,,,,,,,,,
"URBANA (012)",16529,686,1707,1915,1711,2840,2464,3816,1390
"Sabe leer y escribir (013)",14408,,1250,1897,1693,2730,2359,3444,1035
"No sabe leer y escribir (014)",2121,686,457,18,18,110,105,372,355
"Hombres (016)",8051,338,901,979,867,1365,1154,1854,593
"Sabe leer y escribir (017)",7302,,677,969,863,1342,1142,1774,535
"No sabe leer y escribir (018)",749,338,224,10,4,23,12,80,58
"Mujeres (020)",8478,348,806,936,844,1475,1310,1962,797
"Sabe leer y escribir (021)",7106,,573,928,830,1388,1217,1670,500
"No sabe leer y escribir (022)",1372,348,233,8,14,87,93,292,297
,,,,,,,,,
"RURAL (024)",33768,1900,4683,5104,3419,4853,4317,6530,2962
"Sabe leer y escribir (025)",23081,,2517,4858,3157,4071,3299,3942,1237
"No sabe leer y escribir (026)",10687,1900,2166,246,262,782,1018,2588,1725
"Hombres (028)",16683,959,2366,2590,1731,2378,2142,3195,1322
"Sabe leer y escribir (029)",12832,,1265,2484,1656,2207,1931,2471,818
"No sabe leer y escribir (030)",3851,959,1101,106,75,171,211,724,504
"Mujeres (032)",17085,941,2317,2514,1688,2475,2175,3335,1640
"Sabe leer y escribir (033)",10249,,1252,2374,1501,1864,1368,1471,419
"No sabe leer y escribir (034)",6836,941,1065,140,187,611,807,1864,1221
