"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia UTCUBAMBA (000)",34930,4694,9335,15528,1050,3809,514
"Sin nivel (001)",2332,50,777,1152,54,257,42
"Educación inicial (002)",20,1,5,10,,4,
"Primaria (003)",17494,395,5398,8765,616,2078,242
"Secundaria (004)",10217,1001,2885,4517,294,1327,193
"Superior no univ. incompleta (005)",957,403,115,334,22,62,21
"Superior no univ. completa (006)",1821,1274,86,376,31,46,8
"Superior univ. incompleta (007)",536,311,34,143,17,25,6
"Superior univ. completa (008)",1553,1259,35,231,16,10,2
"Hombres (010)",28451,2795,8470,13312,951,2890,33
"Sin nivel (011)",1662,19,614,847,45,135,2
"Educación inicial (012)",12,,4,6,,2,
"Primaria (013)",15008,206,4913,7746,575,1558,10
"Secundaria (014)",8622,667,2685,3891,259,1101,19
"Superior no univ. incompleta (015)",653,229,108,254,21,41,
"Superior no univ. completa (016)",1102,693,80,278,25,25,1
"Superior univ. incompleta (017)",378,201,33,112,13,19,
"Superior univ. completa (018)",1014,780,33,178,13,9,1
"Mujeres (020)",6479,1899,865,2216,99,919,481
"Sin nivel (021)",670,31,163,305,9,122,40
"Educación inicial (022)",8,1,1,4,,2,
"Primaria (023)",2486,189,485,1019,41,520,232
"Secundaria (024)",1595,334,200,626,35,226,174
"Superior no univ. incompleta (025)",304,174,7,80,1,21,21
"Superior no univ. completa (026)",719,581,6,98,6,21,7
"Superior univ. incompleta (027)",158,110,1,31,4,6,6
"Superior univ. completa (028)",539,479,2,53,3,1,1
,,,,,,,
"URBANA (030)",16197,4121,3293,6819,476,1040,448
"Sin nivel (031)",647,46,188,310,14,57,32
"Educación inicial (032)",11,1,2,7,,1,
"Primaria (033)",5556,356,1534,2846,210,404,206
"Secundaria (034)",5829,918,1372,2721,176,468,174
"Superior no univ. incompleta (035)",804,357,81,278,19,48,21
"Superior no univ. completa (036)",1507,1048,63,323,27,38,8
"Superior univ. incompleta (037)",456,267,24,125,16,19,5
"Superior univ. completa (038)",1387,1128,29,209,14,5,2
"Hombres (040)",11739,2477,2929,5239,395,671,28
"Sin nivel (041)",357,19,134,167,11,25,1
"Educación inicial (042)",4,,1,3,,,
"Primaria (043)",4161,181,1349,2195,178,250,8
"Secundaria (044)",4543,605,1261,2188,143,329,17
"Superior no univ. incompleta (045)",540,213,76,204,18,29,
"Superior no univ. completa (046)",901,572,57,230,21,20,1
"Superior univ. incompleta (047)",321,176,23,96,12,14,
"Superior univ. completa (048)",912,711,28,156,12,4,1
"Mujeres (050)",4458,1644,364,1580,81,369,420
"Sin nivel (051)",290,27,54,143,3,32,31
"Educación inicial (052)",7,1,1,4,,1,
"Primaria (053)",1395,175,185,651,32,154,198
"Secundaria (054)",1286,313,111,533,33,139,157
"Superior no univ. incompleta (055)",264,144,5,74,1,19,21
"Superior no univ. completa (056)",606,476,6,93,6,18,7
"Superior univ. incompleta (057)",135,91,1,29,4,5,5
"Superior univ. completa (058)",475,417,1,53,2,1,1
,,,,,,,
"RURAL (060)",18733,573,6042,8709,574,2769,66
"Sin nivel (061)",1685,4,589,842,40,200,10
"Educación inicial (062)",9,,3,3,,3,
"Primaria (063)",11938,39,3864,5919,406,1674,36
"Secundaria (064)",4388,83,1513,1796,118,859,19
"Superior no univ. incompleta (065)",153,46,34,56,3,14,
"Superior no univ. completa (066)",314,226,23,53,4,8,
"Superior univ. incompleta (067)",80,44,10,18,1,6,1
"Superior univ. completa (068)",166,131,6,22,2,5,
"Hombres (070)",16712,318,5541,8073,556,2219,5
"Sin nivel (071)",1305,,480,680,34,110,1
"Educación inicial (072)",8,,3,3,,2,
"Primaria (073)",10847,25,3564,5551,397,1308,2
"Secundaria (074)",4079,62,1424,1703,116,772,2
"Superior no univ. incompleta (075)",113,16,32,50,3,12,
"Superior no univ. completa (076)",201,121,23,48,4,5,
"Superior univ. incompleta (077)",57,25,10,16,1,5,
"Superior univ. completa (078)",102,69,5,22,1,5,
"Mujeres (080)",2021,255,501,636,18,550,61
"Sin nivel (081)",380,4,109,162,6,90,9
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",1091,14,300,368,9,366,34
"Secundaria (084)",309,21,89,93,2,87,17
"Superior no univ. incompleta (085)",40,30,2,6,,2,
"Superior no univ. completa (086)",113,105,,5,,3,
"Superior univ. incompleta (087)",23,19,,2,,1,1
"Superior univ. completa (088)",64,62,1,,1,,
