"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JAUJA (000)",28936,377,7964,9847,8289,2459
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",127,,17,51,54,5
"Profes., científicos e intelectuales (002)",2615,,516,1236,812,51
"Técnicos de nivel medio y trab. asimilados (003)",1048,5,393,328,277,45
"Jefes y empleados de oficina (004)",773,,319,264,178,12
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3275,31,902,1166,948,228
"Agricult. trabaj. calif.agrop. y pesqueros (006)",5088,24,821,1515,1829,899
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2163,17,821,668,530,127
"Obreros construc., conf., papel, fab., instr. (008)",2377,4,805,934,558,76
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",10913,296,3235,3478,2973,931
"Otra (010)",105,,16,69,20,
"Ocupación no especificada (011)",452,,119,138,110,85
"Hombres (012)",17920,230,5058,5909,5103,1620
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",93,,12,39,38,4
"Profes., científicos e intelectuales (014)",1384,,241,591,509,43
"Técnicos de nivel medio y trab. asimilados (015)",701,5,250,217,193,36
"Jefes y empleados de oficina (016)",347,,95,126,116,10
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1239,12,366,414,345,102
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3792,11,600,1180,1337,664
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1822,13,685,551,462,111
"Obreros construc., conf., papel, fab., instr. (020)",2332,3,785,918,550,76
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",5958,186,1961,1768,1504,539
"Otra (022)",101,,13,69,19,
"Ocupación no especificada (023)",151,,50,36,30,35
"Mujeres (024)",11016,147,2906,3938,3186,839
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",34,,5,12,16,1
"Profes., científicos e intelectuales (026)",1231,,275,645,303,8
"Técnicos de nivel medio y trab. asimilados (027)",347,,143,111,84,9
"Jefes y empleados de oficina (028)",426,,224,138,62,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2036,19,536,752,603,126
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1296,13,221,335,492,235
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",341,4,136,117,68,16
"Obreros construc., conf., papel, fab., instr. (032)",45,1,20,16,8,
