"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN MARTIN (000)",66729,1499,22953,24089,15602,2586
"Agric., ganadería, caza y silvicultura (001)",18012,685,5658,5487,4771,1411
"Pesca (002)",113,3,37,35,31,7
"Explotación de minas y canteras (003)",64,,15,33,15,1
"Industrias manufactureras (004)",3804,69,1293,1393,921,128
"Suministro de electricidad, gas y agua (005)",223,1,69,84,67,2
"Construcción (006)",4430,31,1456,1743,1102,98
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12304,324,4206,4467,2857,450
"Venta, mant.y rep. veh.autom.y motoc. (008)",1814,40,839,610,294,31
"Comercio al por mayor (009)",639,10,244,249,117,19
"Comercio al por menor (010)",9851,274,3123,3608,2446,400
"Hoteles y restaurantes (011)",3544,95,1238,1301,807,103
"Trans., almac. y comunicaciones (012)",5854,22,2471,2288,1029,44
"Intermediación financiera (013)",503,,219,210,69,5
"Activid.inmobil., empres. y alquileres (014)",3027,7,1293,1141,551,35
"Admin.pub. y defensa; p. segur.soc.afil (015)",2197,,634,995,550,18
"Enseñanza (016)",3965,,728,2067,1144,26
"Servicios sociales y de salud (017)",1414,,324,643,425,22
"Otras activ. serv.comun.soc y personales (018)",1735,49,665,627,344,50
"Hogares privados con servicio doméstico (019)",2964,190,1608,718,366,82
"Organiz. y organos extraterritoriales (020)",5,,1,2,2,
"Actividad economica no especificada (021)",2571,23,1038,855,551,104
"Hombres (022)",43908,971,14959,15443,10668,1867
"Agric., ganadería, caza y silvicultura (023)",14801,528,4774,4463,3873,1163
"Pesca (024)",99,2,31,33,27,6
"Explotación de minas y canteras (025)",62,,14,33,14,1
"Industrias manufactureras (026)",2706,61,1014,936,601,94
"Suministro de electricidad, gas y agua (027)",198,1,57,75,63,2
"Construcción (028)",4272,28,1396,1672,1081,95
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6733,232,2410,2260,1571,260
"Venta, mant.y rep. veh.autom.y motoc. (030)",1650,39,748,559,273,31
"Comercio al por mayor (031)",402,9,146,151,82,14
"Comercio al por menor (032)",4681,184,1516,1550,1216,215
"Hoteles y restaurantes (033)",878,28,392,239,184,35
"Trans., almac. y comunicaciones (034)",5455,17,2231,2177,987,43
"Intermediación financiera (035)",323,,120,143,55,5
"Activid.inmobil., empres. y alquileres (036)",2060,5,814,795,416,30
"Admin.pub. y defensa; p. segur.soc.afil (037)",1582,,393,751,420,18
