"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",5541,58,1902,2176,1204,201
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",16,,2,7,7,
"Profes., científicos e intelectuales (002)",304,,71,163,70,
"Técnicos de nivel medio y trab. asimilados (003)",425,,141,195,88,1
"Jefes y empleados de oficina (004)",192,,72,79,40,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",451,3,162,177,97,12
"Agricult. trabaj. calif.agrop. y pesqueros (006)",962,1,180,324,328,129
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",471,1,169,197,93,11
"Obreros construc., conf., papel, fab., instr. (008)",1042,2,332,476,222,10
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",1561,50,720,513,244,34
"Otra (010)",50,,24,21,5,
"Ocupación no especificada (011)",67,1,29,24,10,3
"Hombres (012)",4335,34,1433,1705,988,175
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",13,,1,6,6,
"Profes., científicos e intelectuales (014)",196,,48,96,52,
"Técnicos de nivel medio y trab. asimilados (015)",330,,102,151,76,1
"Jefes y empleados de oficina (016)",109,,31,45,32,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",161,1,52,56,48,4
"Agricult. trabaj. calif.agrop. y pesqueros (018)",867,1,166,288,294,118
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",456,1,166,190,88,11
"Obreros construc., conf., papel, fab., instr. (020)",996,2,304,459,221,10
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1143,29,533,387,164,30
"Otra (022)",49,,23,21,5,
"Ocupación no especificada (023)",15,,7,6,2,
"Mujeres (024)",1206,24,469,471,216,26
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",3,,1,1,1,
"Profes., científicos e intelectuales (026)",108,,23,67,18,
"Técnicos de nivel medio y trab. asimilados (027)",95,,39,44,12,
"Jefes y empleados de oficina (028)",83,,41,34,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",290,2,110,121,49,8
"Agricult. trabaj. calif.agrop. y pesqueros (030)",95,,14,36,34,11
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",15,,3,7,5,
"Obreros construc., conf., papel, fab., instr. (032)",46,,28,17,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",418,21,187,126,80,4
"Otra (034)",1,,1,,,
