"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SANCHEZ CARRION (000)",29513,135592,7454,35959,22059,99633
"Casa independiente (001)",28491,130998,7305,35254,21186,95744
"Departamento en edificio (002)",11,60,11,60,,
"Vivienda en quinta (003)",45,190,45,190,,
"Vivienda en casa de vecindad (004)",86,418,86,418,,
"Choza o cabaña (005)",869,3884,,,869,3884
"Vivienda improvisada (006)",3,18,3,18,,
"Local no dest.para hab. humana (007)",8,24,4,19,4,5
