"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia OCROS (000)",2513,9130,1420,5236,1093,3894
"Casa independiente (001)",2419,8804,1408,5184,1011,3620
"Departamento en edificio (002)",3,8,3,8,,
"Vivienda en casa de vecindad (004)",9,44,9,44,,
"Choza o cabaña (005)",79,268,,,79,268
"Local no dest.para hab. humana (007)",2,2,,,2,2
"Otro tipo (008)",1,4,,,1,4
