"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ASCOPE (000)",37960,8102,13843,13192,726,1207,890
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",71,67,,,4,,
"Profes., científicos e intelectuales (002)",2598,2207,,355,24,11,1
"Técnicos de nivel medio y trab. asimilados (003)",1714,1094,,533,67,16,4
"Jefes y empleados de oficina (004)",1580,1569,,8,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5622,1392,60,3643,81,445,1
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3165,34,36,2668,427,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",3583,,2200,1309,46,28,
"Obreros construc.,conf.,papel, fab., instr. (008)",4892,435,1744,2640,49,24,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13943,1021,9595,1825,13,605,884
"Otra (010)",127,127,,,,,
"Ocupación no especificada (011)",665,156,208,211,15,75,
"Hombres (012)",27855,4782,12884,8932,610,621,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",48,45,,,3,,
"Profes., científicos e intelectuales (014)",1255,994,,242,16,3,
"Técnicos de nivel medio y trab. asimilados (015)",1163,732,,377,43,11,
"Jefes y empleados de oficina (016)",793,790,,3,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2331,896,14,1306,37,78,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3019,34,36,2539,410,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3241,,2123,1057,44,17,
"Obreros construc.,conf.,papel, fab., instr. (020)",4803,433,1710,2591,49,20,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",10772,661,8876,722,4,483,26
"Otra (022)",124,124,,,,,
"Ocupación no especificada (023)",306,73,125,95,4,9,
"Mujeres (024)",10105,3320,959,4260,116,586,864
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",23,22,,,1,,
"Profes., científicos e intelectuales (026)",1343,1213,,113,8,8,1
"Técnicos de nivel medio y trab. asimilados (027)",551,362,,156,24,5,4
"Jefes y empleados de oficina (028)",787,779,,5,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3291,496,46,2337,44,367,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",146,,,129,17,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",342,,77,252,2,11,
"Obreros construc.,conf.,papel, fab., instr. (032)",89,2,34,49,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3171,360,719,1103,9,122,858
"Otra (034)",3,3,,,,,
"Ocupación no especificada (035)",359,83,83,116,11,66,
,,,,,,,
"URBANA (036)",33145,7752,11196,11834,579,958,826
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",67,63,,,4,,
"Profes., científicos e intelectuales (038)",2520,2143,,342,24,10,1
"Técnicos de nivel medio y trab. asimilados (039)",1655,1052,,521,63,15,4
"Jefes y empleados de oficina (040)",1521,1510,,8,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",5328,1298,54,3479,76,420,1
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2160,32,32,1803,293,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",3451,,2108,1270,45,28,
"Obreros construc.,conf.,papel, fab., instr. (044)",4579,407,1661,2443,47,21,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",11099,972,7140,1766,13,388,820
"Otra (046)",127,127,,,,,
"Ocupación no especificada (047)",638,148,201,202,14,73,
"Hombres (048)",23716,4567,10439,7787,474,424,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",45,42,,,3,,
"Profes., científicos e intelectuales (050)",1218,965,,234,16,3,
"Técnicos de nivel medio y trab. asimilados (051)",1131,711,,369,40,11,
"Jefes y empleados de oficina (052)",773,770,,3,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",2203,829,13,1252,36,73,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",2065,32,32,1720,281,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",3125,,2039,1026,43,17,
"Obreros construc.,conf.,papel, fab., instr. (056)",4495,405,1629,2397,47,17,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",8245,621,6604,697,4,294,25
"Otra (058)",124,124,,,,,
"Ocupación no especificada (059)",292,68,122,89,4,9,
"Mujeres (060)",9429,3185,757,4047,105,534,801
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",22,21,,,1,,
"Profes., científicos e intelectuales (062)",1302,1178,,108,8,7,1
"Técnicos de nivel medio y trab. asimilados (063)",524,341,,152,23,4,4
"Jefes y empleados de oficina (064)",748,740,,5,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",3125,469,41,2227,40,347,1
"Agricult.trabaj.calif.agrop.y pesqueros (066)",95,,,83,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",326,,69,244,2,11,
"Obreros construc.,conf.,papel, fab., instr. (068)",84,2,32,46,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",2854,351,536,1069,9,94,795
"Otra (070)",3,3,,,,,
"Ocupación no especificada (071)",346,80,79,113,10,64,
,,,,,,,
"RURAL (072)",4815,350,2647,1358,147,249,64
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,4,,,,,
"Profes., científicos e intelectuales (074)",78,64,,13,,1,
"Técnicos de nivel medio y trab. asimilados (075)",59,42,,12,4,1,
"Jefes y empleados de oficina (076)",59,59,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",294,94,6,164,5,25,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1005,2,4,865,134,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",132,,92,39,1,,
"Obreros construc.,conf.,papel, fab., instr. (080)",313,28,83,197,2,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",2844,49,2455,59,,217,64
"Ocupación no especificada (083)",27,8,7,9,1,2,
"Hombres (084)",4139,215,2445,1145,136,197,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",37,29,,8,,,
"Técnicos de nivel medio y trab. asimilados (087)",32,21,,8,3,,
"Jefes y empleados de oficina (088)",20,20,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",128,67,1,54,1,5,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",954,2,4,819,129,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",116,,84,31,1,,
"Obreros construc.,conf.,papel, fab., instr. (092)",308,28,81,194,2,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2527,40,2272,25,,189,1
"Ocupación no especificada (095)",14,5,3,6,,,
"Mujeres (096)",676,135,202,213,11,52,63
