"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANUCO (000)",267068,161416,105652
"Casa independiente (001)",243473,147181,96292
"Departamento en edificio (002)",6038,6038,
"Vivienda en quinta (003)",3558,3558,
"Vivienda en casa de vecindad (004)",4411,4411,
"Choza o cabaña (005)",9346,,9346
"Vivienda improvisada (006)",47,47,
"Local no dest.para hab. humana (007)",187,176,11
"Otro tipo (008)",8,5,3
