"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia VIRU (000)",770,37,447,152,112,22
"Conviviente (001)",231,3,102,79,41,6
"Separado(a) (002)",28,,13,4,10,1
"Casado(a) (003)",95,,14,29,44,8
"Viudo(a) (004)",8,,,,5,3
"Divorciado(a) (005)",5,,2,,1,2
"Soltero(a) (006)",403,34,316,40,11,2
"Hombres (008)",519,24,275,110,92,18
"Conviviente (009)",165,2,60,60,37,6
"Separado(a) (010)",9,,4,,5,
"Casado(a) (011)",63,,2,19,36,6
"Viudo(a) (012)",5,,,,3,2
"Divorciado(a) (013)",3,,1,,,2
"Soltero(a) (014)",274,22,208,31,11,2
"Mujeres (016)",251,13,172,42,20,4
"Conviviente (017)",66,1,42,19,4,
"Separado(a) (018)",19,,9,4,5,1
"Casado(a) (019)",32,,12,10,8,2
"Viudo(a) (020)",3,,,,2,1
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",129,12,108,9,,
,,,,,,
"AREA URBANA (024)",564,24,325,119,79,17
"Conviviente (025)",185,3,83,65,30,4
"Separado(a) (026)",22,,11,3,7,1
"Casado(a) (027)",71,,9,22,32,8
"Viudo(a) (028)",5,,,,3,2
"Divorciado(a) (029)",4,,2,,1,1
"Soltero(a) (030)",277,21,220,29,6,1
"Hombres (032)",390,15,211,85,66,13
"Conviviente (033)",133,2,51,49,27,4
"Separado(a) (034)",7,,4,,3,
"Casado(a) (035)",50,,1,15,28,6
"Viudo(a) (036)",3,,,,2,1
"Divorciado(a) (037)",2,,1,,,1
"Soltero(a) (038)",195,13,154,21,6,1
"Mujeres (040)",174,9,114,34,13,4
"Conviviente (041)",52,1,32,16,3,
"Separado(a) (042)",15,,7,3,4,1
"Casado(a) (043)",21,,8,7,4,2
"Viudo(a) (044)",2,,,,1,1
"Divorciado(a) (045)",2,,1,,1,
"Soltero(a) (046)",82,8,66,8,,
,,,,,,
"AREA RURAL (048)",206,13,122,33,33,5
"Conviviente (049)",46,,19,14,11,2
"Separado(a) (050)",6,,2,1,3,
"Casado(a) (051)",24,,5,7,12,
"Viudo(a) (052)",3,,,,2,1
"Divorciado(a) (053)",1,,,,,1
"Soltero(a) (054)",126,13,96,11,5,1
"Hombres (056)",129,9,64,25,26,5
"Conviviente (057)",32,,9,11,10,2
"Separado(a) (058)",2,,,,2,
"Casado(a) (059)",13,,1,4,8,
"Viudo(a) (060)",2,,,,1,1
"Divorciado(a) (061)",1,,,,,1
"Soltero(a) (062)",79,9,54,10,5,1
"Mujeres (064)",77,4,58,8,7,
"Conviviente (065)",14,,10,3,1,
"Separado(a) (066)",4,,2,1,1,
"Casado(a) (067)",11,,4,3,4,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",47,4,42,1,,
