"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CALCA (000)",34608,18941,167,296,13651,639,26,38,7,843
"Hombres (001)",13191,9895,109,122,2206,281,15,22,7,534
"Mujeres (002)",21417,9046,58,174,11445,358,11,16,,309
"De 06 a 14 años (003)",14723,13912,,,367,245,,6,,193
"Hombres (004)",7505,7119,,,176,115,,4,,91
"Mujeres (005)",7218,6793,,,191,130,,2,,102
"De 15 a 29 años (006)",9131,4912,7,78,3880,,5,12,7,230
"Hombres (007)",3550,2724,4,41,623,,2,6,7,143
"Mujeres (008)",5581,2188,3,37,3257,,3,6,,87
"De 30 a 44 años (009)",4580,90,4,71,4234,,12,6,,163
"Hombres (010)",742,41,3,26,532,,7,3,,130
"Mujeres (011)",3838,49,1,45,3702,,5,3,,33
"De 45 a 64 años (012)",3641,22,69,68,3321,3,8,4,,146
"Hombres (013)",681,9,38,29,489,1,5,4,,106
"Mujeres (014)",2960,13,31,39,2832,2,3,,,40
"De 65 y más años (015)",2533,5,87,79,1849,391,1,10,,111
"Hombres (016)",713,2,64,26,386,165,1,5,,64
"Mujeres (017)",1820,3,23,53,1463,226,,5,,47
,,,,,,,,,,
"AREA URBANA (018)",11551,6928,147,187,3815,189,24,7,1,253
"Hombres (019)",4633,3484,99,74,753,75,14,5,1,128
"Mujeres (020)",6918,3444,48,113,3062,114,10,2,,125
"De 06 a 14 años (021)",4808,4625,,,108,37,,1,,37
"Hombres (022)",2424,2323,,,63,18,,1,,19
"Mujeres (023)",2384,2302,,,45,19,,,,18
"De 15 a 29 años (024)",3383,2230,4,54,1008,,4,1,1,81
"Hombres (025)",1393,1128,2,28,191,,2,1,1,40
"Mujeres (026)",1990,1102,2,26,817,,2,,,41
"De 30 a 44 años (027)",1311,59,3,49,1142,,12,,,46
"Hombres (028)",247,29,2,12,171,,7,,,26
"Mujeres (029)",1064,30,1,37,971,,5,,,20
"De 45 a 64 años (030)",1096,11,64,40,927,1,7,1,,45
"Hombres (031)",264,3,36,19,180,1,4,1,,20
"Mujeres (032)",832,8,28,21,747,,3,,,25
"De 65 y más años (033)",953,3,76,44,630,151,1,4,,44
"Hombres (034)",305,1,59,15,148,56,1,2,,23
"Mujeres (035)",648,2,17,29,482,95,,2,,21
,,,,,,,,,,
"AREA RURAL (036)",23057,12013,20,109,9836,450,2,31,6,590
"Hombres (037)",8558,6411,10,48,1453,206,1,17,6,406
"Mujeres (038)",14499,5602,10,61,8383,244,1,14,,184
"De 06 a 14 años (039)",9915,9287,,,259,208,,5,,156
"Hombres (040)",5081,4796,,,113,97,,3,,72
"Mujeres (041)",4834,4491,,,146,111,,2,,84
"De 15 a 29 años (042)",5748,2682,3,24,2872,,1,11,6,149
"Hombres (043)",2157,1596,2,13,432,,,5,6,103
"Mujeres (044)",3591,1086,1,11,2440,,1,6,,46
"De 30 a 44 años (045)",3269,31,1,22,3092,,,6,,117
"Hombres (046)",495,12,1,14,361,,,3,,104
"Mujeres (047)",2774,19,,8,2731,,,3,,13
"De 45 a 64 años (048)",2545,11,5,28,2394,2,1,3,,101
"Hombres (049)",417,6,2,10,309,,1,3,,86
"Mujeres (050)",2128,5,3,18,2085,2,,,,15
"De 65 y más años (051)",1580,2,11,35,1219,240,,6,,67
"Hombres (052)",408,1,5,11,238,109,,3,,41
"Mujeres (053)",1172,1,6,24,981,131,,3,,26
