"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHA (000)",75318,39223,7071,9574,19450
"Agric., ganadería, caza y silvicultura (001)",12636,6651,1458,1717,2810
"Pesca (002)",439,233,29,85,92
"Explotación de minas y canteras (003)",471,28,17,22,404
"Industrias manufactureras (004)",15187,3224,805,2285,8873
"Suministro de electricidad, gas y agua (005)",163,44,9,57,53
"Construcción (006)",5503,3784,881,482,356
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",13556,11546,1029,565,416
"Venta, mant.y rep. veh.autom y motoc. (008)",1522,1063,221,96,142
"Comercio al por mayor (009)",1319,700,156,189,274
"Comercio al por menor (010)",10715,9783,652,280,
"Hoteles y restaurantes (011)",2620,2030,340,193,57
"Trans., almac. y comunicaciones (012)",6673,5190,493,468,522
"Intermediación financiera (013)",369,37,41,216,75
"Activid.inmobil., empres. y alquileres (014)",3511,1540,478,655,838
"Admin.pub. y defensa; p. segur soc.afil (015)",1886,,,,1886
"Enseñanza (016)",5132,589,968,2232,1343
"Servicios sociales y de salud (017)",1559,392,80,66,1021
"Otras activ. serv.comun.soc y personales (018)",1776,1104,221,252,199
"Hogares privados con servicio doméstico (019)",1613,1613,,,
"Organiz. y organos extraterritoriales (020)",3,,,3,
"Actividad economica no especificada (021)",2221,1218,222,276,505
"Hombres (022)",48861,25604,5080,6092,12085
"Agric., ganadería, caza y silvicultura (023)",9586,5146,1198,1235,2007
"Pesca (024)",422,229,28,84,81
"Explotación de minas y canteras (025)",447,25,16,21,385
"Industrias manufactureras (026)",8979,2214,569,1344,4852
"Suministro de electricidad, gas y agua (027)",147,38,8,54,47
"Construcción (028)",5405,3733,867,466,339
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6992,5588,666,405,333
"Venta, mant.y rep. veh.autom y motoc. (030)",1420,985,205,91,139
"Comercio al por mayor (031)",838,400,108,136,194
"Comercio al por menor (032)",4734,4203,353,178,
"Hoteles y restaurantes (033)",901,613,162,103,23
"Trans., almac. y comunicaciones (034)",6416,5031,461,438,486
"Intermediación financiera (035)",192,24,22,101,45
"Activid.inmobil., empres. y alquileres (036)",2728,1204,362,507,655
"Admin.pub. y defensa; p. segur soc.afil (037)",1361,,,,1361
"Enseñanza (038)",2177,170,374,944,689
