"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SULLANA (000)",99088,23147,20578,40744,2051,4862,2086,5620
"Agric., ganadería, caza y silvicultura (001)",24451,209,10101,10325,922,2894,,
"Pesca (002)",385,26,286,68,4,1,,
"Explotación de minas y canteras (003)",298,66,124,105,3,,,
"Industrias manufactureras (004)",6761,532,3074,2901,128,126,,
"Suministro de electricidad, gas y agua (005)",245,95,127,21,,2,,
"Construcción (006)",4338,190,2789,1249,65,45,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",21666,4573,852,14335,532,1374,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2025,207,536,1143,118,21,,
"Comercio al por mayor (009)",1192,500,149,463,30,50,,
"Comercio al por menor (010)",18449,3866,167,12729,384,1303,,
"Hoteles y restaurantes (011)",3858,1280,191,2152,116,119,,
"Trans., almac. y comunicaciones (012)",9283,1671,1160,6278,92,82,,
"Intermediación financiera (013)",369,337,3,24,5,,,
"Activid.inmobil., empres. y alquileres (014)",3631,2545,365,636,61,24,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2489,2253,236,,,,,
"Enseñanza (016)",6284,5810,5,424,31,14,,
"Servicios sociales y de salud (017)",1550,1362,11,156,19,2,,
"Otras activ. serv.comun.soc y personales (018)",3359,1242,729,1332,24,32,,
"Hogares privados con servicio doméstico (019)",2086,,,,,,2086,
"Actividad economica no especificada (021)",2415,956,525,738,49,147,,
"Desocupado (022)",5620,,,,,,,5620
"Hombres (023)",72501,13001,18851,31386,1680,3326,94,4163
"Agric., ganadería, caza y silvicultura (024)",23228,173,9511,10029,879,2636,,
"Pesca (025)",347,20,256,66,4,1,,
"Explotación de minas y canteras (026)",287,59,123,102,3,,,
"Industrias manufactureras (027)",5336,389,2524,2231,109,83,,
"Suministro de electricidad, gas y agua (028)",225,79,124,20,,2,,
"Construcción (029)",4251,175,2738,1231,64,43,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",13383,2684,821,9132,377,369,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1921,154,530,1113,111,13,,
"Comercio al por mayor (032)",825,328,138,323,25,11,,
"Comercio al por menor (033)",10637,2202,153,7696,241,345,,
"Hoteles y restaurantes (034)",1168,509,88,494,48,29,,
"Trans., almac. y comunicaciones (035)",8974,1494,1133,6184,87,76,,
"Intermediación financiera (036)",209,198,2,5,4,,,
"Activid.inmobil., empres. y alquileres (037)",2754,1860,328,511,41,14,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1879,1699,180,,,,,
"Enseñanza (039)",2195,2023,4,153,11,4,,
"Servicios sociales y de salud (040)",560,452,9,89,10,,,
"Otras activ. serv.comun.soc y personales (041)",2226,771,658,764,15,18,,
"Hogares privados con servicio doméstico (042)",94,,,,,,94,
"Actividad economica no especificada (044)",1222,416,352,375,28,51,,
"Desocupado (045)",4163,,,,,,,4163
"Mujeres (046)",26587,10146,1727,9358,371,1536,1992,1457
"Agric., ganadería, caza y silvicultura (047)",1223,36,590,296,43,258,,
"Pesca (048)",38,6,30,2,,,,
"Explotación de minas y canteras (049)",11,7,1,3,,,,
"Industrias manufactureras (050)",1425,143,550,670,19,43,,
"Suministro de electricidad, gas y agua (051)",20,16,3,1,,,,
"Construcción (052)",87,15,51,18,1,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",8283,1889,31,5203,155,1005,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",104,53,6,30,7,8,,
"Comercio al por mayor (055)",367,172,11,140,5,39,,
"Comercio al por menor (056)",7812,1664,14,5033,143,958,,
"Hoteles y restaurantes (057)",2690,771,103,1658,68,90,,
"Trans., almac. y comunicaciones (058)",309,177,27,94,5,6,,
"Intermediación financiera (059)",160,139,1,19,1,,,
"Activid.inmobil., empres. y alquileres (060)",877,685,37,125,20,10,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",610,554,56,,,,,
"Enseñanza (062)",4089,3787,1,271,20,10,,
"Servicios sociales y de salud (063)",990,910,2,67,9,2,,
"Otras activ. serv.comun.soc y personales (064)",1133,471,71,568,9,14,,
"Hogares privados con servicio doméstico (065)",1992,,,,,,1992,
"Actividad economica no especificada (067)",1193,540,173,363,21,96,,
"Desocupado (068)",1457,,,,,,,1457
,,,,,,,,
"URBANA (069)",90013,22748,17219,37399,1891,3697,1970,5089
"Agric., ganadería, caza y silvicultura (070)",17741,186,7289,7702,782,1782,,
"Pesca (071)",296,25,207,59,4,1,,
"Explotación de minas y canteras (072)",268,63,111,91,3,,,
"Industrias manufactureras (073)",6611,521,2988,2853,127,122,,
"Suministro de electricidad, gas y agua (074)",230,93,115,20,,2,,
"Construcción (075)",4269,190,2743,1228,64,44,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",21244,4516,823,14036,521,1348,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1997,204,523,1134,115,21,,
"Comercio al por mayor (078)",1150,482,139,451,29,49,,
"Comercio al por menor (079)",18097,3830,161,12451,377,1278,,
"Hoteles y restaurantes (080)",3762,1269,182,2085,114,112,,
"Trans., almac. y comunicaciones (081)",9083,1645,1116,6149,92,81,,
"Intermediación financiera (082)",367,335,3,24,5,,,
"Activid.inmobil., empres. y alquileres (083)",3552,2497,341,629,61,24,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",2416,2184,232,,,,,
"Enseñanza (085)",6189,5724,5,416,30,14,,
"Servicios sociales y de salud (086)",1523,1345,11,148,17,2,,
"Otras activ. serv.comun.soc y personales (087)",3249,1219,681,1295,24,30,,
"Hogares privados con servicio doméstico (088)",1970,,,,,,1970,
"Actividad economica no especificada (090)",2154,936,372,664,47,135,,
"Desocupado (091)",5089,,,,,,,5089
"Hombres (092)",64486,12737,15739,28367,1537,2322,84,3700
"Agric., ganadería, caza y silvicultura (093)",16919,152,6891,7478,747,1651,,
"Pesca (094)",262,19,181,57,4,1,,
"Explotación de minas y canteras (095)",260,57,110,90,3,,,
"Industrias manufactureras (096)",5221,381,2457,2194,108,81,,
"Suministro de electricidad, gas y agua (097)",210,77,112,19,,2,,
"Construcción (098)",4186,175,2695,1211,63,42,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",13129,2651,792,8955,369,362,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1893,151,517,1104,108,13,,
"Comercio al por mayor (101)",790,313,128,314,24,11,,
"Comercio al por menor (102)",10446,2187,147,7537,237,338,,
"Hoteles y restaurantes (103)",1157,509,85,487,47,29,,
"Trans., almac. y comunicaciones (104)",8777,1470,1089,6056,87,75,,
"Intermediación financiera (105)",208,197,2,5,4,,,
"Activid.inmobil., empres. y alquileres (106)",2685,1817,308,505,41,14,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",1813,1635,178,,,,,
"Enseñanza (108)",2159,1988,4,152,11,4,,
