"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JULCAN (000)",7873,175,2594,2569,1786,749
"Agric., ganadería, caza y silvicultura (001)",6393,152,2126,2009,1443,663
"Explotación de minas y canteras (003)",4,,1,3,,
"Industrias manufactureras (004)",74,1,21,24,22,6
"Suministro de electricidad, gas y agua (005)",4,,,2,1,1
"Construcción (006)",74,4,26,27,14,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",250,8,61,98,72,11
"Venta, mant.y rep. veh.autom.y motoc. (008)",2,,2,,,
"Comercio al por mayor (009)",12,,6,2,4,
"Comercio al por menor (010)",236,8,53,96,68,11
"Hoteles y restaurantes (011)",60,4,12,24,17,3
"Trans., almac. y comunicaciones (012)",81,3,42,26,8,2
"Activid.inmobil., empres. y alquileres (014)",20,,9,5,6,
"Admin.pub. y defensa; p. segur.soc.afil (015)",58,,15,31,12,
"Enseñanza (016)",321,,94,148,65,14
"Servicios sociales y de salud (017)",47,,25,16,6,
"Otras activ. serv.comun.soc y personales (018)",33,,11,13,7,2
"Hogares privados con servicio doméstico (019)",66,3,34,13,15,1
"Actividad economica no especificada (021)",388,,117,130,98,43
"Hombres (022)",6988,160,2291,2245,1597,695
"Agric., ganadería, caza y silvicultura (023)",6229,147,2065,1955,1408,654
"Explotación de minas y canteras (025)",4,,1,3,,
"Industrias manufactureras (026)",66,,20,20,21,5
"Suministro de electricidad, gas y agua (027)",4,,,2,1,1
"Construcción (028)",71,2,25,27,14,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",150,5,38,59,41,7
"Venta, mant.y rep. veh.autom.y motoc. (030)",2,,2,,,
"Comercio al por mayor (031)",7,,5,1,1,
"Comercio al por menor (032)",141,5,31,58,40,7
"Hoteles y restaurantes (033)",3,1,,2,,
"Trans., almac. y comunicaciones (034)",73,3,35,26,7,2
"Activid.inmobil., empres. y alquileres (036)",15,,5,5,5,
"Admin.pub. y defensa; p. segur.soc.afil (037)",49,,13,24,12,
"Enseñanza (038)",124,,29,58,35,2
"Servicios sociales y de salud (039)",18,,9,5,4,
"Otras activ. serv.comun.soc y personales (040)",10,,3,4,2,1
"Hogares privados con servicio doméstico (041)",7,2,2,1,2,
"Actividad economica no especificada (043)",165,,46,54,45,20
"Mujeres (045)",885,15,303,324,189,54
"Agric., ganadería, caza y silvicultura (046)",164,5,61,54,35,9
