"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHEPEN (000)",28115,4925,10113,9123,671,933,602,1748
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",51,49,,,2,,,
"Profes., científicos e intelectuales (002)",1832,1568,,239,21,4,,
"Técnicos de nivel medio y trab. asimilados (003)",888,528,,307,46,6,1,
"Jefes y empleados de oficina (004)",757,749,,4,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3755,940,52,2368,67,328,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2360,3,10,1894,453,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1311,,391,867,31,22,,
"Obreros construc.,conf.,papel, fab., instr. (008)",2851,335,736,1732,36,12,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",12085,564,8833,1567,10,510,601,
"Otra (010)",73,73,,,,,,
"Ocupación no especificada (011)",404,116,91,145,5,47,,
"Desocupado (012)",1748,,,,,,,1748
"Hombres (013)",20093,2661,8478,6555,604,475,16,1304
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",34,32,,,2,,,
"Profes., científicos e intelectuales (015)",802,630,,150,20,2,,
"Técnicos de nivel medio y trab. asimilados (016)",577,312,,229,33,2,1,
"Jefes y empleados de oficina (017)",355,352,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1856,559,20,1157,42,78,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2225,3,10,1772,440,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1124,,363,723,25,13,,
"Obreros construc.,conf.,papel, fab., instr. (021)",2802,334,717,1706,36,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",8809,337,7328,762,4,363,15,
"Otra (023)",71,71,,,,,,
"Ocupación no especificada (024)",134,31,40,54,2,7,,
"Desocupado (025)",1304,,,,,,,1304
"Mujeres (026)",8022,2264,1635,2568,67,458,586,444
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",17,17,,,,,,
"Profes., científicos e intelectuales (028)",1030,938,,89,1,2,,
"Técnicos de nivel medio y trab. asimilados (029)",311,216,,78,13,4,,
"Jefes y empleados de oficina (030)",402,397,,2,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1899,381,32,1211,25,250,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",135,,,122,13,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",187,,28,144,6,9,,
"Obreros construc.,conf.,papel, fab., instr. (034)",49,1,19,26,,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",3276,227,1505,805,6,147,586,
"Otra (036)",2,2,,,,,,
"Ocupación no especificada (037)",270,85,51,91,3,40,,
"Desocupado (038)",444,,,,,,,444
,,,,,,,,
"URBANA (039)",23486,4745,7460,8030,592,681,567,1411
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",51,49,,,2,,,
"Profes., científicos e intelectuales (041)",1772,1525,,224,20,3,,
"Técnicos de nivel medio y trab. asimilados (042)",851,501,,298,45,6,1,
"Jefes y empleados de oficina (043)",736,728,,4,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",3641,908,46,2302,65,320,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1501,3,7,1111,380,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1248,,359,836,31,22,,
"Obreros construc.,conf.,papel, fab., instr. (047)",2637,311,671,1609,35,11,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",9194,536,6296,1516,10,270,566,
"Otra (049)",73,73,,,,,,
"Ocupación no especificada (050)",371,111,81,130,4,45,,
"Desocupado (051)",1411,,,,,,,1411
"Hombres (052)",16197,2541,6209,5599,526,294,16,1012
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",34,32,,,2,,,
"Profes., científicos e intelectuales (054)",776,612,,144,19,1,,
"Técnicos de nivel medio y trab. asimilados (055)",555,299,,221,32,2,1,
"Jefes y empleados de oficina (056)",342,339,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1793,534,17,1125,40,77,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1416,3,7,1038,368,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1069,,332,699,25,13,,
"Obreros construc.,conf.,papel, fab., instr. (060)",2590,310,652,1585,35,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",6419,312,5165,737,4,186,15,
"Otra (062)",71,71,,,,,,
"Ocupación no especificada (063)",120,29,36,48,1,6,,
"Desocupado (064)",1012,,,,,,,1012
"Mujeres (065)",7289,2204,1251,2431,66,387,551,399
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",17,17,,,,,,
"Profes., científicos e intelectuales (067)",996,913,,80,1,2,,
"Técnicos de nivel medio y trab. asimilados (068)",296,202,,77,13,4,,
"Jefes y empleados de oficina (069)",394,389,,2,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",1848,374,29,1177,25,243,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",85,,,73,12,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",179,,27,137,6,9,,
"Obreros construc.,conf.,papel, fab., instr. (073)",47,1,19,24,,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",2775,224,1131,779,6,84,551,
"Otra (075)",2,2,,,,,,
"Ocupación no especificada (076)",251,82,45,82,3,39,,
"Desocupado (077)",399,,,,,,,399
,,,,,,,,
"RURAL (078)",4629,180,2653,1093,79,252,35,337
"Profes., científicos e intelectuales (080)",60,43,,15,1,1,,
"Técnicos de nivel medio y trab. asimilados (081)",37,27,,9,1,,,
"Jefes y empleados de oficina (082)",21,21,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",114,32,6,66,2,8,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",859,,3,783,73,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",63,,32,31,,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",214,24,65,123,1,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",2891,28,2537,51,,240,35,
"Ocupación no especificada (089)",33,5,10,15,1,2,,
"Desocupado (090)",337,,,,,,,337
"Hombres (091)",3896,120,2269,956,78,181,,292
"Profes., científicos e intelectuales (093)",26,18,,6,1,1,,
"Técnicos de nivel medio y trab. asimilados (094)",22,13,,8,1,,,
"Jefes y empleados de oficina (095)",13,13,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",63,25,3,32,2,1,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",809,,3,734,72,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",55,,31,24,,,,
