"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARABAYA (000)",24692,23969,7946,2836,2888,2498,3590,2291,1212,708,723,64772
"De 12 a 14 años (001)",2681,2662,2650,7,5,,,,,,19,17
"De 15 a 19 años (002)",3682,3636,3174,378,69,9,6,,,,46,567
"De 20 a 24 años (003)",3223,2975,1164,973,614,173,44,7,,,248,2945
"De 25 a 29 años (004)",2956,2750,362,622,799,610,330,25,2,,206,5627
"De 30 a 34 años (005)",2391,2327,148,282,481,515,675,194,28,4,64,7231
"De 35 a 39 años (006)",2211,2175,78,177,333,404,700,362,102,19,36,8515
"De 40 a 44 años (007)",1765,1745,71,98,172,221,502,401,205,75,20,8449
"De 45 a 49 años (008)",1344,1331,52,68,104,165,340,313,214,75,13,6928
"De 50 y más años (009)",4439,4368,247,231,311,401,993,989,661,535,71,24493
"Conviviente (010)",8310,8165,591,1742,1818,1393,1487,738,271,125,145,24420
"De 12 a 14 años (011)",34,16,10,4,2,,,,,,18,8
"De 15 a 19 años (012)",555,518,172,279,55,7,5,,,,37,430
"De 20 a 24 años (013)",1694,1650,205,729,528,152,32,4,,,44,2398
"De 25 a 29 años (014)",1934,1908,97,412,624,488,266,19,2,,26,4392
"De 30 a 34 años (015)",1410,1403,30,149,309,350,423,119,19,4,7,4614
"De 35 a 39 años (016)",1084,1076,27,86,156,204,343,203,49,8,8,4305
"De 40 a 44 años (017)",613,611,12,27,70,83,163,155,72,29,2,3053
"De 45 a 49 años (018)",374,373,12,17,24,47,110,94,55,14,1,1905
"De 50 y más años (019)",612,610,26,39,50,62,145,144,74,70,2,3315
"Separado(a) (020)",1055,1041,28,317,200,152,181,89,44,30,14,3238
"De 12 a 14 años (021)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (022)",49,46,4,39,3,,,,,,3,45
