"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PIURA (000)",155227,132858,22369
"Casa independiente (001)",146792,125597,21195
"Departamento en edificio (002)",2968,2968,
"Vivienda en quinta (003)",403,403,
"Vivienda en casa de vecindad (004)",313,313,
"Choza o cabaña (005)",1167,,1167
"Vivienda improvisada (006)",3447,3447,
"Local no dest.para hab. humana (007)",112,107,5
"Otro tipo (008)",25,23,2
