"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CUTERVO (000)",38307,4064,6383,19110,453,7205,1092
"Sin nivel (001)",3999,44,757,2205,50,713,230
"Educación inicial (002)",39,,3,18,,17,1
"Primaria (003)",21835,196,4092,12170,282,4490,605
"Secundaria (004)",7938,439,1383,3966,93,1819,238
"Superior no univ. incompleta (005)",517,228,54,176,5,51,3
"Superior no univ. completa (006)",2476,1955,65,358,8,79,11
"Superior univ. incompleta (007)",309,190,16,77,3,21,2
"Superior univ. completa (008)",1194,1012,13,140,12,15,2
"Hombres (010)",30969,2358,5718,16977,399,5486,31
"Sin nivel (011)",2703,5,574,1726,44,349,5
"Educación inicial (012)",29,,2,16,,11,
"Primaria (013)",18621,108,3689,11125,252,3436,11
"Secundaria (014)",6817,294,1321,3529,80,1579,14
"Superior no univ. incompleta (015)",357,132,47,138,4,36,
"Superior no univ. completa (016)",1487,1103,59,266,6,52,1
"Superior univ. incompleta (017)",215,120,13,64,3,15,
"Superior univ. completa (018)",740,596,13,113,10,8,
"Mujeres (020)",7338,1706,665,2133,54,1719,1061
"Sin nivel (021)",1296,39,183,479,6,364,225
"Educación inicial (022)",10,,1,2,,6,1
"Primaria (023)",3214,88,403,1045,30,1054,594
"Secundaria (024)",1121,145,62,437,13,240,224
"Superior no univ. incompleta (025)",160,96,7,38,1,15,3
"Superior no univ. completa (026)",989,852,6,92,2,27,10
"Superior univ. incompleta (027)",94,70,3,13,,6,2
"Superior univ. completa (028)",454,416,,27,2,7,2
,,,,,,,
"URBANA (030)",8908,3113,1166,3535,108,513,473
"Sin nivel (031)",425,21,66,241,4,30,63
"Educación inicial (032)",9,,2,6,,,1
"Primaria (033)",2607,110,560,1443,46,217,231
"Secundaria (034)",2452,339,435,1286,33,197,162
"Superior no univ. incompleta (035)",323,151,34,110,4,22,2
"Superior no univ. completa (036)",1907,1547,46,272,8,24,10
"Superior univ. incompleta (037)",219,137,12,55,1,12,2
"Superior univ. completa (038)",966,808,11,122,12,11,2
"Hombres (040)",5810,1745,1038,2643,79,291,14
"Sin nivel (041)",165,2,44,109,3,6,1
"Educación inicial (042)",6,,1,5,,,
"Primaria (043)",1826,64,493,1113,30,121,5
"Secundaria (044)",1817,243,412,1005,25,125,7
"Superior no univ. incompleta (045)",205,81,28,79,4,13,
"Superior no univ. completa (046)",1068,817,40,191,6,13,1
"Superior univ. incompleta (047)",144,83,9,44,1,7,
"Superior univ. completa (048)",579,455,11,97,10,6,
"Mujeres (050)",3098,1368,128,892,29,222,459
"Sin nivel (051)",260,19,22,132,1,24,62
"Educación inicial (052)",3,,1,1,,,1
"Primaria (053)",781,46,67,330,16,96,226
"Secundaria (054)",635,96,23,281,8,72,155
"Superior no univ. incompleta (055)",118,70,6,31,,9,2
"Superior no univ. completa (056)",839,730,6,81,2,11,9
"Superior univ. incompleta (057)",75,54,3,11,,5,2
"Superior univ. completa (058)",387,353,,25,2,5,2
,,,,,,,
"RURAL (060)",29399,951,5217,15575,345,6692,619
"Sin nivel (061)",3574,23,691,1964,46,683,167
"Educación inicial (062)",30,,1,12,,17,
"Primaria (063)",19228,86,3532,10727,236,4273,374
"Secundaria (064)",5486,100,948,2680,60,1622,76
"Superior no univ. incompleta (065)",194,77,20,66,1,29,1
"Superior no univ. completa (066)",569,408,19,86,,55,1
"Superior univ. incompleta (067)",90,53,4,22,2,9,
"Superior univ. completa (068)",228,204,2,18,,4,
"Hombres (070)",25159,613,4680,14334,320,5195,17
"Sin nivel (071)",2538,3,530,1617,41,343,4
"Educación inicial (072)",23,,1,11,,11,
"Primaria (073)",16795,44,3196,10012,222,3315,6
"Secundaria (074)",5000,51,909,2524,55,1454,7
"Superior no univ. incompleta (075)",152,51,19,59,,23,
"Superior no univ. completa (076)",419,286,19,75,,39,
"Superior univ. incompleta (077)",71,37,4,20,2,8,
"Superior univ. completa (078)",161,141,2,16,,2,
"Mujeres (080)",4240,338,537,1241,25,1497,602
"Sin nivel (081)",1036,20,161,347,5,340,163
"Educación inicial (082)",7,,,1,,6,
"Primaria (083)",2433,42,336,715,14,958,368
"Secundaria (084)",486,49,39,156,5,168,69
"Superior no univ. incompleta (085)",42,26,1,7,1,6,1
"Superior no univ. completa (086)",150,122,,11,,16,1
"Superior univ. incompleta (087)",19,16,,2,,1,
"Superior univ. completa (088)",67,63,,2,,2,
