"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia EL DORADO (000)",13708,11818,1325,412,153
"Hombres (001)",9889,8470,1021,301,97
"Mujeres (002)",3819,3348,304,111,56
"De 06 a 14 años (003)",878,774,73,31,
"Hombres (004)",570,506,44,20,
"Mujeres (005)",308,268,29,11,
"De 15 a 29 años (006)",5113,4397,535,132,49
"Hombres (007)",3725,3167,416,111,31
"Mujeres (008)",1388,1230,119,21,18
"De 30 a 44 años (009)",4341,3655,441,171,74
"Hombres (010)",3142,2643,340,113,46
"Mujeres (011)",1199,1012,101,58,28
"De 45 a 64 años (012)",2719,2379,236,76,28
"Hombres (013)",1968,1701,192,56,19
"Mujeres (014)",751,678,44,20,9
"De 65 y más años (015)",657,613,40,2,2
"Hombres (016)",484,453,29,1,1
"Mujeres (017)",173,160,11,1,1
,,,,,
"URBANA (018)",5510,4713,442,218,137
"Hombres (019)",3683,3138,319,141,85
"Mujeres (020)",1827,1575,123,77,52
"De 06 a 14 años (021)",294,278,7,9,
"Hombres (022)",187,175,6,6,
"Mujeres (023)",107,103,1,3,
"De 15 a 29 años (024)",1824,1596,149,38,41
"Hombres (025)",1216,1056,107,28,25
"Mujeres (026)",608,540,42,10,16
"De 30 a 44 años (027)",1856,1492,180,117,67
"Hombres (028)",1225,986,127,71,41
"Mujeres (029)",631,506,53,46,26
"De 45 a 64 años (030)",1247,1073,94,53,27
"Hombres (031)",854,728,72,36,18
"Mujeres (032)",393,345,22,17,9
"De 65 y más años (033)",289,274,12,1,2
"Hombres (034)",201,193,7,,1
"Mujeres (035)",88,81,5,1,1
,,,,,
"RURAL (036)",8198,7105,883,194,16
"Hombres (037)",6206,5332,702,160,12
"Mujeres (038)",1992,1773,181,34,4
"De 06 a 14 años (039)",584,496,66,22,
"Hombres (040)",383,331,38,14,
"Mujeres (041)",201,165,28,8,
"De 15 a 29 años (042)",3289,2801,386,94,8
"Hombres (043)",2509,2111,309,83,6
"Mujeres (044)",780,690,77,11,2
"De 30 a 44 años (045)",2485,2163,261,54,7
"Hombres (046)",1917,1657,213,42,5
"Mujeres (047)",568,506,48,12,2
"De 45 a 64 años (048)",1472,1306,142,23,1
"Hombres (049)",1114,973,120,20,1
"Mujeres (050)",358,333,22,3,
"De 65 y más años (051)",368,339,28,1,
"Hombres (052)",283,260,22,1,
"Mujeres (053)",85,79,6,,
