"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYMARAES (000)",28442,12555,15887
"Casa independiente (001)",27217,12115,15102
"Departamento en edificio (002)",17,17,
"Vivienda en quinta (003)",44,44,
"Vivienda en casa de vecindad (004)",372,372,
"Choza o cabaña (005)",784,,784
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",3,2,1
