"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ANGARAES (000)",13518,55528,4232,15911,9286,39617
"Casa independiente (001)",12279,51169,4037,15277,8242,35892
"Departamento en edificio (002)",9,31,9,31,,
"Vivienda en quinta (003)",124,420,124,420,,
"Vivienda en casa de vecindad (004)",47,136,47,136,,
"Choza o cabaña (005)",1039,3716,,,1039,3716
"Vivienda improvisada (006)",1,2,1,2,,
"Local no dest.para hab. humana (007)",17,50,14,45,3,5
"Otro tipo (008)",2,4,,,2,4
