"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHURCAMPA (000)",13112,136,3890,4537,3499,1050
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",39,,10,16,13,
"Profes., científicos e intelectuales (002)",741,,161,446,131,3
"Técnicos de nivel medio y trab. asimilados (003)",191,,62,82,47,
"Jefes y empleados de oficina (004)",173,,63,68,42,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",578,6,191,218,137,26
"Agricult. trabaj. calif.agrop. y pesqueros (006)",5493,14,1290,1806,1698,685
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",558,,157,231,157,13
"Obreros construc., conf., papel, fab., instr. (008)",434,,117,184,121,12
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",4617,116,1724,1393,1097,287
"Otra (010)",61,,34,25,2,
"Ocupación no especificada (011)",227,,81,68,54,24
"Hombres (012)",9188,79,2689,3169,2498,753
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",31,,4,15,12,
"Profes., científicos e intelectuales (014)",413,,79,227,104,3
"Técnicos de nivel medio y trab. asimilados (015)",135,,39,62,34,
"Jefes y empleados de oficina (016)",106,,29,43,34,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",229,3,77,94,45,10
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4645,8,1095,1554,1436,552
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",493,,133,206,144,10
"Obreros construc., conf., papel, fab., instr. (020)",425,,112,181,120,12
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2573,68,1058,741,547,159
"Otra (022)",52,,28,22,2,
"Ocupación no especificada (023)",86,,35,24,20,7
"Mujeres (024)",3924,57,1201,1368,1001,297
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",8,,6,1,1,
"Profes., científicos e intelectuales (026)",328,,82,219,27,
"Técnicos de nivel medio y trab. asimilados (027)",56,,23,20,13,
"Jefes y empleados de oficina (028)",67,,34,25,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",349,3,114,124,92,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",848,6,195,252,262,133
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",65,,24,25,13,3
"Obreros construc., conf., papel, fab., instr. (032)",9,,5,3,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",2044,48,666,652,550,128
"Otra (034)",9,,6,3,,
