"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 20 a 24 años (103)",384,290,104,136,38,8,4,,,,94,252
"De 25 a 29 años (104)",336,275,23,114,97,32,9,,,,61,443
"De 30 a 34 años (105)",305,276,13,80,101,48,31,3,,,29,572
"De 35 a 39 años (106)",291,281,6,38,100,77,51,8,1,,10,749
"De 40 a 44 años (107)",285,273,2,27,63,62,78,33,7,1,12,958
"De 45 a 49 años (108)",247,235,7,33,51,44,53,34,12,1,12,823
"De 50 y más años (109)",805,783,39,49,61,117,182,163,102,70,22,4025
"Sin nivel (110)",196,186,7,6,5,17,48,52,31,20,10,1105
"De 15 a 19 años (112)",3,3,3,,,,,,,,,
"De 20 a 24 años (113)",5,1,1,,,,,,,,4,
"De 25 a 29 años (114)",4,2,,,,1,1,,,,2,8
"De 30 a 34 años (115)",2,1,,1,,,,,,,1,1
"De 35 a 39 años (116)",8,8,,,,3,4,1,,,,35
"De 40 a 44 años (117)",15,14,,,2,1,7,3,1,,1,69
"De 45 a 49 años (118)",12,12,1,,1,2,5,2,1,,,52
"De 50 y más años (119)",147,145,2,5,2,10,31,46,29,20,2,940
"Educacion Inicial (120)",1,1,1,,,,,,,,,
"De 12 a 14 años (121)",1,1,1,,,,,,,,,
"Primaria (130)",705,689,137,31,83,85,130,111,68,44,16,2802
"De 12 a 14 años (131)",104,104,103,1,,,,,,,,1
"De 15 a 19 años (132)",29,26,18,8,,,,,,,3,8
"De 20 a 24 años (133)",24,21,3,6,10,1,1,,,,3,33
"De 25 a 29 años (134)",25,24,,1,17,6,,,,,1,53
"De 30 a 34 años (135)",38,36,2,3,13,9,9,,,,2,93
"De 35 a 39 años (136)",42,41,,2,7,15,13,3,1,,1,145
"De 40 a 44 años (137)",54,54,1,,6,9,19,16,3,,,245
"De 45 a 49 años (138)",60,59,,2,9,8,12,19,8,1,1,295
"De 50 y más años (139)",329,324,10,8,21,37,76,73,56,43,5,1929
"Secundaria (140)",1436,1358,499,226,222,160,163,61,21,6,78,2484
"De 12 a 14 años (141)",190,189,188,1,,,,,,,1,1
"De 15 a 19 años (142)",296,282,253,24,4,1,,,,,14,35
"De 20 a 24 años (143)",156,128,27,68,24,7,2,,,,28,145
"De 25 a 29 años (144)",143,131,7,48,51,19,6,,,,12,233
"De 30 a 34 años (145)",128,124,3,29,48,25,18,1,,,4,281
"De 35 a 39 años (146)",110,107,1,16,32,31,24,3,,,3,294
"De 40 a 44 años (147)",112,107,1,9,27,22,36,9,3,,5,368
"De 45 a 49 años (148)",95,88,1,11,15,24,23,11,3,,7,306
"De 50 y más años (149)",206,202,18,20,21,31,54,37,15,6,4,821
"Sup. no Univ. incompleta (150)",274,244,93,68,36,24,20,1,1,1,30,326
"De 15 a 19 años (152)",66,64,59,5,,,,,,,2,5
"De 20 a 24 años (153)",72,59,31,27,1,,,,,,13,29
"De 25 a 29 años (154)",40,32,,19,13,,,,,,8,45
"De 30 a 34 años (155)",20,16,1,8,3,3,1,,,,4,27
"De 35 a 39 años (156)",28,28,,4,14,7,3,,,,,65
"De 40 a 44 años (157)",20,19,,3,3,5,6,1,,1,1,69
"De 45 a 49 años (158)",9,9,,,1,3,5,,,,,32
"De 50 y más años (159)",19,17,2,2,1,6,5,,1,,2,54
"Sup. no Univ. completa (160)",408,345,47,115,98,48,29,7,,1,63,636
"De 20 a 24 años (163)",85,59,29,26,3,,1,,,,26,36
"De 25 a 29 años (164)",74,52,9,28,11,3,1,,,,22,63
"De 30 a 34 años (165)",69,63,3,26,25,7,1,1,,,6,107
"De 35 a 39 años (166)",56,56,2,10,26,11,7,,,,,126
"De 40 a 44 años (167)",48,45,,10,14,11,7,3,,,3,120
"De 45 a 49 años (168)",35,34,2,9,12,5,5,1,,,1,76
"De 50 y más años (169)",41,36,2,6,7,11,7,2,,1,5,108
"Sup. Univ. incompleta (170)",114,96,33,23,18,15,5,2,,,18,138
"De 15 a 19 años (172)",22,22,19,3,,,,,,,,3
"De 20 a 24 años (173)",32,19,11,8,,,,,,,13,8
"De 25 a 29 años (174)",15,12,2,4,3,2,1,,,,3,20
"De 30 a 34 años (175)",5,4,1,1,1,1,,,,,1,6
