"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SUCRE (000)",4666,4555,1152,457,451,411,731,545,397,411,111,17378
"De 12 a 14 años (001)",507,498,493,3,2,,,,,,9,7
"De 15 a 19 años (002)",499,489,395,73,13,4,4,,,,10,127
"De 20 a 24 años (003)",341,312,68,127,85,24,8,,,,29,404
"De 25 a 29 años (004)",373,354,31,88,123,66,40,6,,,19,735
"De 30 a 34 años (005)",365,354,17,43,79,70,117,23,5,,11,1101
"De 35 a 39 años (006)",356,343,14,26,41,54,133,48,21,6,13,1407
"De 40 a 44 años (007)",372,370,31,15,24,52,94,80,51,23,2,1859
"De 45 a 49 años (008)",280,277,14,22,14,35,66,64,40,22,3,1443
"De 50 y más años (009)",1573,1558,89,60,70,106,269,324,280,360,15,10295
"Sin nivel (010)",1132,1115,75,35,51,70,181,223,214,266,17,7428
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",5,5,3,,1,,1,,,,,6
"De 20 a 24 años (013)",10,10,3,3,2,1,1,,,,,14
"De 25 a 29 años (014)",11,10,2,1,2,3,2,,,,1,22
"De 30 a 34 años (015)",15,13,1,1,2,3,3,3,,,2,46
"De 35 a 39 años (016)",37,32,2,1,2,4,8,5,6,4,5,174
"De 40 a 44 años (017)",65,65,10,1,6,5,8,18,9,8,,351
"De 45 a 49 años (018)",66,66,5,2,3,5,13,15,13,10,,394
"De 50 y más años (019)",920,911,46,26,33,49,145,182,186,244,9,6421
"Educacion Inicial (020)",8,8,,1,2,1,3,1,,,,28
"De 20 a 24 años (023)",3,3,,,2,,1,,,,,8
"De 25 a 29 años (024)",2,2,,,,1,1,,,,,8
"De 30 a 34 años (025)",1,1,,1,,,,,,,,1
