"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia MANU (000)",20290,11620,8670,7261,3722,3539,13029,7898,5131
"Menores de 1 año (001)",483,234,249,185,89,96,298,145,153
"Menores de 1 mes (002)",52,24,28,8,3,5,44,21,23
"De 1 a 11 meses (003)",431,210,221,177,86,91,254,124,130
"De 1 a 4 años (004)",2003,1026,977,705,365,340,1298,661,637
"1 año (005)",502,248,254,169,80,89,333,168,165
"2 años (006)",582,321,261,203,113,90,379,208,171
"3 años (007)",457,228,229,155,75,80,302,153,149
"4 años (008)",462,229,233,178,97,81,284,132,152
"De 5 a 9 años (009)",1956,1005,951,864,452,412,1092,553,539
"5 años (010)",397,190,207,173,78,95,224,112,112
"6 años (011)",366,185,181,153,82,71,213,103,110
"7 años (012)",396,218,178,180,103,77,216,115,101
"8 años (013)",447,239,208,201,104,97,246,135,111
"9 años (014)",350,173,177,157,85,72,193,88,105
"De 10 a 14 años (015)",1694,858,836,822,398,424,872,460,412
"10 años (016)",386,202,184,193,97,96,193,105,88
"11 años (017)",326,151,175,139,62,77,187,89,98
"12 años (018)",367,176,191,181,87,94,186,89,97
"13 años (019)",300,146,154,146,68,78,154,78,76
"14 años (020)",315,183,132,163,84,79,152,99,53
"De 15 a 19 años (021)",2020,1056,964,702,344,358,1318,712,606
"15 años (022)",291,155,136,135,70,65,156,85,71
"16 años (023)",320,167,153,136,69,67,184,98,86
"17 años (024)",382,197,185,124,63,61,258,134,124
"18 años (025)",496,260,236,146,65,81,350,195,155
"19 años (026)",531,277,254,161,77,84,370,200,170
"De 20 a 24 años (027)",2830,1589,1241,761,345,416,2069,1244,825
"20 años (028)",594,326,268,158,78,80,436,248,188
"21 años (029)",476,261,215,124,53,71,352,208,144
"22 años (030)",605,354,251,167,85,82,438,269,169
"23 años (031)",588,315,273,163,57,106,425,258,167
"24 años (032)",567,333,234,149,72,77,418,261,157
"De 25 a 29 años (033)",2296,1374,922,697,327,370,1599,1047,552
"25 años (034)",525,309,216,172,90,82,353,219,134
"26 años (035)",429,256,173,132,56,76,297,200,97
"27 años (036)",555,345,210,154,73,81,401,272,129
"28 años (037)",424,264,160,124,63,61,300,201,99
"29 años (038)",363,200,163,115,45,70,248,155,93
"De 30 a 34 años (039)",1877,1126,751,664,308,356,1213,818,395
"30 años (040)",518,314,204,179,82,97,339,232,107
"31 años (041)",265,165,100,86,42,44,179,123,56
"32 años (042)",378,228,150,131,65,66,247,163,84
"33 años (043)",385,219,166,143,62,81,242,157,85
"34 años (044)",331,200,131,125,57,68,206,143,63
"De 35 a 39 años (045)",1607,1004,603,616,347,269,991,657,334
"35 años (046)",370,235,135,150,85,65,220,150,70
