"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia REQUENA (000)",13076,7076,6000
"Casa independiente (001)",10818,6908,3910
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",75,75,
"Vivienda en casa de vecindad (004)",6,6,
"Choza o cabaña (005)",2077,,2077
"Vivienda improvisada (006)",70,70,
"Local no dest.para hab. humana (007)",15,10,5
"Otro tipo (008)",10,2,8
