"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TACNA (000)",105507,182637,171773,,3640,94.1,2
"De 12 a 14 años (001)",7626,53,51,,1,96.2,1.9
"De 15 a 19 años (002)",13173,1159,1141,319,98.4,27.5,
"De 20 a 24 años (003)",13623,6440,6323,818,98.2,12.7,
"De 25 a 29 años (004)",13408,13531,13287,993,98.2,7.3,
"De 30 a 34 años (005)",11965,19080,18697,835,98,4.4,
"De 35 a 39 años (006)",10932,22840,22261,510,97.5,2.2,
"De 40 a 44 años (007)",8928,22561,21802,147,96.6,0.7,
"De 45 a 49 años (008)",6984,20580,19531,17,94.9,0.1,
"De 50 y más años (009)",18868,76393,68680,,89.9,,
"Sin nivel (010)",6134,27539,23875,61,86.7,0.2,
"De 12 a 14 años (011)",45,,,,,,
"De 15 a 19 años (012)",64,11,11,,100,,
"De 20 a 24 años (013)",85,62,62,3,100,4.8,
"De 25 a 29 años (014)",86,149,148,5,99.3,3.4,
"De 30 a 34 años (015)",373,768,741,22,96.5,2.9,
"De 35 a 39 años (016)",452,1249,1184,16,94.8,1.3,
"De 40 a 44 años (017)",491,1605,1523,11,94.9,0.7,
"De 45 a 49 años (018)",538,2196,2037,4,92.8,0.2,
"De 50 y más años (019)",4000,21499,18169,,84.5,,
"Educacion Inicial (020)",161,139,135,8,97.1,5.8,
"De 12 a 14 años (021)",35,1,1,,100,,
"De 15 a 19 años (022)",26,1,1,,100,,
"De 20 a 24 años (023)",28,14,14,,100,,
"De 25 a 29 años (024)",27,30,29,3,96.7,10,
"De 30 a 34 años (025)",25,54,54,4,100,7.4,
"De 35 a 39 años (026)",20,39,36,1,92.3,2.6,
"Primaria (030)",19231,54689,50780,473,92.9,0.9,
"De 12 a 14 años (031)",2456,17,16,,94.1,,
"De 15 a 19 años (032)",504,93,91,25,97.8,26.9,
"De 20 a 24 años (033)",621,662,654,62,98.8,9.4,
"De 25 a 29 años (034)",1300,2162,2091,106,96.7,4.9,
"De 30 a 34 años (035)",1821,4051,3932,138,97.1,3.4,
"De 35 a 39 años (036)",2076,5639,5453,100,96.7,1.8,
"De 40 a 44 años (037)",2165,6883,6567,39,95.4,0.6,
"De 45 a 49 años (038)",1944,6965,6514,3,93.5,,
"De 50 y más años (039)",6344,28217,25462,,90.2,,
