"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CAJAMARCA (000)",239129,34216,53629,53124,38471,25925,33764
"Católica (001)",179743,25982,40956,40661,29141,19239,23764
"Cristiana/Evangélica (002)",48912,6778,10147,9990,7695,5656,8646
"Otra (003)",6153,825,1298,1353,1011,725,941
"Ninguna (004)",4321,631,1228,1120,624,305,413
"Hombres (006)",116767,17346,26344,26256,18794,12536,15491
"Católica (007)",89868,13357,20609,20559,14653,9570,11120
"Cristiana/Evangélica (008)",21561,3261,4440,4368,3315,2455,3722
"Otra (009)",2795,390,572,644,450,326,413
"Ninguna (010)",2543,338,723,685,376,185,236
"Mujeres (012)",122362,16870,27285,26868,19677,13389,18273
"Católica (013)",89875,12625,20347,20102,14488,9669,12644
"Cristiana/Evangélica (014)",27351,3517,5707,5622,4380,3201,4924
"Otra (015)",3358,435,726,709,561,399,528
"Ninguna (016)",1778,293,505,435,248,120,177
,,,,,,,
"URBANA (018)",135507,16584,31176,32287,22713,15238,17509
"Católica (019)",108588,13170,24848,26195,18432,12214,13729
"Cristiana/Evangélica (020)",20323,2625,4560,4385,3263,2386,3104
"Otra (021)",3952,495,909,951,657,445,495
"Ninguna (022)",2644,294,859,756,361,193,181
"Hombres (024)",65221,8303,15093,15685,10910,7333,7897
"Católica (025)",52858,6629,12127,12836,9008,5989,6269
"Cristiana/Evangélica (026)",8895,1254,2054,1894,1381,1016,1296
"Otra (027)",1796,246,399,461,285,198,207
"Ninguna (028)",1672,174,513,494,236,130,125
"Mujeres (030)",70286,8281,16083,16602,11803,7905,9612
"Católica (031)",55730,6541,12721,13359,9424,6225,7460
"Cristiana/Evangélica (032)",11428,1371,2506,2491,1882,1370,1808
"Otra (033)",2156,249,510,490,372,247,288
"Ninguna (034)",972,120,346,262,125,63,56
,,,,,,,
"RURAL (036)",103622,17632,22453,20837,15758,10687,16255
"Católica (037)",71155,12812,16108,14466,10709,7025,10035
"Cristiana/Evangélica (038)",28589,4153,5587,5605,4432,3270,5542
"Otra (039)",2201,330,389,402,354,280,446
"Ninguna (040)",1677,337,369,364,263,112,232
"Hombres (042)",51546,9043,11251,10571,7884,5203,7594
"Católica (043)",37010,6728,8482,7723,5645,3581,4851
"Cristiana/Evangélica (044)",12666,2007,2386,2474,1934,1439,2426
"Otra (045)",999,144,173,183,165,128,206
"Ninguna (046)",871,164,210,191,140,55,111
"Mujeres (048)",52076,8589,11202,10266,7874,5484,8661
"Católica (049)",34145,6084,7626,6743,5064,3444,5184
"Cristiana/Evangélica (050)",15923,2146,3201,3131,2498,1831,3116
"Otra (051)",1202,186,216,219,189,152,240
"Ninguna (052)",806,173,159,173,123,57,121
