"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONDESUYOS (000)",8408,70,2673,3106,1962,597
"Agric., ganadería, caza y silvicultura (001)",2724,40,537,710,930,507
"Pesca (002)",136,2,49,56,27,2
"Explotación de minas y canteras (003)",3233,4,1343,1410,465,11
"Industrias manufactureras (004)",154,3,38,60,45,8
"Suministro de electricidad, gas y agua (005)",6,,1,2,2,1
"Construcción (006)",268,2,109,100,52,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",493,3,166,184,112,28
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,11,3,2,1
"Comercio al por mayor (009)",22,,8,10,4,
"Comercio al por menor (010)",454,3,147,171,106,27
"Hoteles y restaurantes (011)",203,10,66,71,46,10
"Trans., almac. y comunicaciones (012)",154,,58,68,26,2
"Intermediación financiera (013)",3,,,2,1,
"Activid.inmobil., empres. y alquileres (014)",91,,31,39,20,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",215,,66,93,54,2
"Enseñanza (016)",340,,55,182,103,
"Servicios sociales y de salud (017)",81,,31,38,12,
"Otras activ. serv.comun.soc y personales (018)",118,1,48,41,24,4
"Hogares privados con servicio doméstico (019)",52,5,25,16,5,1
"Actividad economica no especificada (021)",137,,50,34,38,15
"Hombres (022)",6179,46,2042,2340,1360,391
"Agric., ganadería, caza y silvicultura (023)",1728,27,336,442,581,342
"Pesca (024)",132,2,47,55,26,2
"Explotación de minas y canteras (025)",3092,4,1277,1361,440,10
"Industrias manufactureras (026)",83,3,25,27,23,5
"Suministro de electricidad, gas y agua (027)",6,,1,2,2,1
"Construcción (028)",250,2,96,96,51,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",173,2,47,55,56,13
"Venta, mant.y rep. veh.autom.y motoc. (030)",14,,9,3,2,
"Comercio al por mayor (031)",9,,2,5,2,
"Comercio al por menor (032)",150,2,36,47,52,13
"Hoteles y restaurantes (033)",41,2,21,9,8,1
"Trans., almac. y comunicaciones (034)",144,,52,64,26,2
"Intermediación financiera (035)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (036)",76,,26,34,15,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",144,,37,64,41,2
"Enseñanza (038)",143,,15,76,52,
"Servicios sociales y de salud (039)",26,,10,12,4,
"Otras activ. serv.comun.soc y personales (040)",67,1,24,22,17,3
