"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CUTERVO (000)",78708,39092,275,734,36042,1156,92,272,,1045
"Hombres (001)",27000,20384,172,478,4503,653,76,137,,597
"Mujeres (002)",51708,18708,103,256,31539,503,16,135,,448
"De 06 a 14 años (003)",32802,31078,,,957,415,3,47,,302
"Hombres (004)",16507,15925,,,224,213,2,17,,126
"Mujeres (005)",16295,15153,,,733,202,1,30,,176
"De 15 a 29 años (006)",20467,7793,11,145,12111,,29,69,,309
"Hombres (007)",6154,4387,6,79,1453,,24,37,,168
"Mujeres (008)",14313,3406,5,66,10658,,5,32,,141
"De 30 a 44 años (009)",11077,138,17,154,10520,,30,49,,169
"Hombres (010)",1434,56,7,98,1102,,23,26,,122
"Mujeres (011)",9643,82,10,56,9418,,7,23,,47
"De 45 a 64 años (012)",8891,68,102,212,8261,44,26,45,,133
"Hombres (013)",1293,13,64,141,897,33,24,26,,95
"Mujeres (014)",7598,55,38,71,7364,11,2,19,,38
"De 65 y más años (015)",5471,15,145,223,4193,697,4,62,,132
"Hombres (016)",1612,3,95,160,827,407,3,31,,86
"Mujeres (017)",3859,12,50,63,3366,290,1,31,,46
,,,,,,,,,,
"AREA URBANA (018)",14238,7779,218,271,5596,109,9,42,,214
"Hombres (019)",5324,3976,132,161,838,56,7,20,,134
"Mujeres (020)",8914,3803,86,110,4758,53,2,22,,80
"De 06 a 14 años (021)",5373,5250,,,58,28,,7,,30
"Hombres (022)",2706,2657,,,18,16,,3,,12
"Mujeres (023)",2667,2593,,,40,12,,4,,18
"De 15 a 29 años (024)",4269,2479,7,51,1644,,3,18,,67
"Hombres (025)",1589,1296,4,22,221,,3,10,,33
"Mujeres (026)",2680,1183,3,29,1423,,,8,,34
"De 30 a 44 años (027)",1875,36,10,62,1723,,3,5,,36
"Hombres (028)",300,18,4,35,209,,2,3,,29
"Mujeres (029)",1575,18,6,27,1514,,1,2,,7
"De 45 a 64 años (030)",1551,13,88,76,1336,2,1,2,,33
"Hombres (031)",322,5,53,48,186,2,1,1,,26
"Mujeres (032)",1229,8,35,28,1150,,,1,,7
"De 65 y más años (033)",1170,1,113,82,835,79,2,10,,48
"Hombres (034)",407,,71,56,204,38,1,3,,34
"Mujeres (035)",763,1,42,26,631,41,1,7,,14
,,,,,,,,,,
"AREA RURAL (036)",64470,31313,57,463,30446,1047,83,230,,831
"Hombres (037)",21676,16408,40,317,3665,597,69,117,,463
"Mujeres (038)",42794,14905,17,146,26781,450,14,113,,368
"De 06 a 14 años (039)",27429,25828,,,899,387,3,40,,272
"Hombres (040)",13801,13268,,,206,197,2,14,,114
"Mujeres (041)",13628,12560,,,693,190,1,26,,158
"De 15 a 29 años (042)",16198,5314,4,94,10467,,26,51,,242
"Hombres (043)",4565,3091,2,57,1232,,21,27,,135
"Mujeres (044)",11633,2223,2,37,9235,,5,24,,107
"De 30 a 44 años (045)",9202,102,7,92,8797,,27,44,,133
"Hombres (046)",1134,38,3,63,893,,21,23,,93
"Mujeres (047)",8068,64,4,29,7904,,6,21,,40
"De 45 a 64 años (048)",7340,55,14,136,6925,42,25,43,,100
"Hombres (049)",971,8,11,93,711,31,23,25,,69
"Mujeres (050)",6369,47,3,43,6214,11,2,18,,31
"De 65 y más años (051)",4301,14,32,141,3358,618,2,52,,84
"Hombres (052)",1205,3,24,104,623,369,2,28,,52
"Mujeres (053)",3096,11,8,37,2735,249,,24,,32
