"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAROWILCA (000)",9610,8758,426,152,274
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",31,,3,3,25
"Profes., científicos e intelectuales (002)",434,92,120,93,129
"Técnicos de nivel medio y trab. asimilados (003)",65,25,9,6,25
"Jefes y empleados de oficina (004)",41,3,4,5,29
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",340,320,10,2,8
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4388,4281,105,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",102,81,12,4,5
"Obreros construc.,conf.,papel, fab., instr. (008)",156,129,21,3,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3770,3581,134,30,25
"Otra (010)",24,,,,24
"Ocupación no especificada (011)",259,246,8,4,1
"Hombres (012)",6362,5734,323,108,197
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,1,3,21
"Profes., científicos e intelectuales (014)",287,57,86,64,80
"Técnicos de nivel medio y trab. asimilados (015)",51,22,8,5,16
"Jefes y empleados de oficina (016)",29,2,2,2,23
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",108,97,5,2,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3657,3558,97,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",87,71,8,3,5
"Obreros construc.,conf.,papel, fab., instr. (020)",156,129,21,3,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1866,1735,89,21,21
"Otra (022)",24,,,,24
"Ocupación no especificada (023)",72,63,6,3,
"Mujeres (024)",3248,3024,103,44,77
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,2,,4
"Profes., científicos e intelectuales (026)",147,35,34,29,49
"Técnicos de nivel medio y trab. asimilados (027)",14,3,1,1,9
"Jefes y empleados de oficina (028)",12,1,2,3,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",232,223,5,,4
"Agricult.trabaj.calif.agrop.y pesqueros (030)",731,723,8,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",15,10,4,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1904,1846,45,9,4
"Ocupación no especificada (035)",187,183,2,1,1
,,,,,
"URBANA (036)",2373,1922,174,107,170
