"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia UTCUBAMBA (000)",1565,366,1199
"Sin nivel (001)",88,12,76
"Educación inicial (002)",6,2,4
"Primaria (003)",697,119,578
"Secundaria (004)",596,181,415
"Superior no univ. incompleta (005)",49,6,43
"Superior no univ. completa (006)",63,26,37
"Superior univ. incompleta (007)",19,3,16
"Superior univ. completa (008)",47,17,30
"De 14 a 29 años (010)",849,296,553
"Sin nivel (011)",25,8,17
"Educación inicial (012)",5,2,3
"Primaria (013)",298,88,210
"Secundaria (014)",409,156,253
"Superior no univ. incompleta (015)",36,6,30
"Superior no univ. completa (016)",42,21,21
"Superior univ. incompleta (017)",12,2,10
"Superior univ. completa (018)",22,13,9
"De 30 a 44 años (020)",413,58,355
"Sin nivel (021)",17,2,15
"Educación inicial (022)",1,,1
"Primaria (023)",217,27,190
"Secundaria (024)",124,19,105
"Superior no univ. incompleta (025)",12,,12
"Superior no univ. completa (026)",17,5,12
"Superior univ. incompleta (027)",6,1,5
"Superior univ. completa (028)",19,4,15
"De 45 a 64 años (030)",246,12,234
"Sin nivel (031)",30,2,28
"Primaria (033)",146,4,142
"Secundaria (034)",59,6,53
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",6,,6
"De 65 y más años (040)",57,,57
"Sin nivel (041)",16,,16
"Primaria (043)",36,,36
"Secundaria (044)",4,,4
"Superior no univ. incompleta (045)",1,,1
,,,
"AREA URBANA (050)",944,245,699
"Sin nivel (051)",40,5,35
"Educación inicial (052)",1,,1
"Primaria (053)",339,70,269
"Secundaria (054)",411,124,287
"Superior no univ. incompleta (055)",39,3,36
"Superior no univ. completa (056)",54,24,30
"Superior univ. incompleta (057)",17,3,14
"Superior univ. completa (058)",43,16,27
"De 14 a 29 años (060)",511,195,316
"Sin nivel (061)",11,4,7
"Educación inicial (062)",1,,1
"Primaria (063)",127,48,79
"Secundaria (064)",279,107,172
"Superior no univ. incompleta (065)",28,3,25
"Superior no univ. completa (066)",36,19,17
"Superior univ. incompleta (067)",10,2,8
"Superior univ. completa (068)",19,12,7
"De 30 a 44 años (070)",244,41,203
"Sin nivel (071)",9,,9
"Primaria (073)",100,18,82
"Secundaria (074)",86,13,73
"Superior no univ. incompleta (075)",10,,10
"Superior no univ. completa (076)",15,5,10
"Superior univ. incompleta (077)",6,1,5
"Superior univ. completa (078)",18,4,14
"De 45 a 64 años (080)",156,9,147
"Sin nivel (081)",13,1,12
"Primaria (083)",90,4,86
"Secundaria (084)",43,4,39
"Superior no univ. completa (086)",3,,3
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",6,,6
"De 65 y más años (090)",33,,33
"Sin nivel (091)",7,,7
"Primaria (093)",22,,22
"Secundaria (094)",3,,3
"Superior no univ. incompleta (095)",1,,1
,,,
"AREA RURAL (100)",621,121,500
"Sin nivel (101)",48,7,41
"Educación inicial (102)",5,2,3
"Primaria (103)",358,49,309
"Secundaria (104)",185,57,128
"Superior no univ. incompleta (105)",10,3,7
"Superior no univ. completa (106)",9,2,7
"Superior univ. incompleta (107)",2,,2
"Superior univ. completa (108)",4,1,3
"De 14 a 29 años (110)",338,101,237
"Sin nivel (111)",14,4,10
"Educación inicial (112)",4,2,2
"Primaria (113)",171,40,131
"Secundaria (114)",130,49,81
"Superior no univ. incompleta (115)",8,3,5
"Superior no univ. completa (116)",6,2,4
"Superior univ. incompleta (117)",2,,2
"Superior univ. completa (118)",3,1,2
"De 30 a 44 años (120)",169,17,152
"Sin nivel (121)",8,2,6
"Educación inicial (122)",1,,1
"Primaria (123)",117,9,108
"Secundaria (124)",38,6,32
"Superior no univ. incompleta (125)",2,,2
"Superior no univ. completa (126)",2,,2
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",90,3,87
"Sin nivel (131)",17,1,16
"Primaria (133)",56,,56
"Secundaria (134)",16,2,14
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",24,,24
"Sin nivel (141)",9,,9
"Primaria (143)",14,,14
"Secundaria (144)",1,,1
