"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AZANGARO (000)",39030,584,10831,12628,10909,4078
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",86,,7,41,38,
"Profes., científicos e intelectuales (002)",2248,,318,1093,821,16
"Técnicos de nivel medio y trab. asimilados (003)",376,1,120,146,99,10
"Jefes y empleados de oficina (004)",604,,260,203,138,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2327,27,830,859,492,119
"Agricult. trabaj. calif.agrop. y pesqueros (006)",14021,36,2418,4399,4868,2300
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1832,22,848,585,314,63
"Obreros construc., conf., papel, fab., instr. (008)",1539,4,499,635,353,48
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",15230,493,5248,4431,3622,1436
"Otra (010)",80,,28,44,8,
"Ocupación no especificada (011)",687,1,255,192,156,83
"Hombres (012)",23145,308,6073,7524,6692,2548
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",69,,5,28,36,
"Profes., científicos e intelectuales (014)",1629,,179,737,697,16
"Técnicos de nivel medio y trab. asimilados (015)",273,1,85,103,75,9
"Jefes y empleados de oficina (016)",391,,140,135,113,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",821,13,300,283,172,53
"Agricult. trabaj. calif.agrop. y pesqueros (018)",10074,22,1617,3223,3521,1691
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1436,10,697,454,237,38
"Obreros construc., conf., papel, fab., instr. (020)",1511,3,485,627,349,47
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",6567,258,2426,1818,1418,647
"Otra (022)",75,,24,43,8,
"Ocupación no especificada (023)",299,1,115,73,66,44
"Mujeres (024)",15885,276,4758,5104,4217,1530
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",17,,2,13,2,
"Profes., científicos e intelectuales (026)",619,,139,356,124,
"Técnicos de nivel medio y trab. asimilados (027)",103,,35,43,24,1
"Jefes y empleados de oficina (028)",213,,120,68,25,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1506,14,530,576,320,66
"Agricult. trabaj. calif.agrop. y pesqueros (030)",3947,14,801,1176,1347,609
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",396,12,151,131,77,25
"Obreros construc., conf., papel, fab., instr. (032)",28,1,14,8,4,1
