"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",7409,7227,59,1090,1199,1125,1956,1181,510,107,182,28548
"De 12 a 14 años (001)",8,4,1,3,,,,,,,4,3
"De 15 a 19 años (002)",147,138,3,116,17,1,1,,,,9,157
"De 20 a 24 años (003)",573,515,2,303,167,32,11,,,,58,780
"De 25 a 29 años (004)",704,667,4,204,242,153,61,3,,,37,1419
"De 30 a 34 años (005)",716,701,,107,218,189,161,26,,,15,1971
"De 35 a 39 años (006)",708,696,5,68,126,171,250,62,13,1,12,2440
"De 40 a 44 años (007)",662,650,6,46,82,98,207,154,47,10,12,2909
"De 45 a 49 años (008)",582,578,4,30,48,72,204,149,61,10,4,2825
"De 50 y más años (009)",3309,3278,34,213,299,409,1061,787,389,86,31,16044
"Sin nivel (010)",2857,2832,36,200,303,376,918,635,296,68,25,13309
"De 15 a 19 años (012)",5,5,,5,,,,,,,,5
"De 20 a 24 años (013)",17,17,,4,11,1,1,,,,,33
"De 25 a 29 años (014)",37,36,,6,9,11,10,,,,1,98
"De 30 a 34 años (015)",74,72,,8,13,19,21,11,,,2,259
"De 35 a 39 años (016)",104,104,2,9,10,21,41,17,4,,,408
"De 40 a 44 años (017)",182,177,4,15,16,20,54,43,19,6,5,841
"De 45 a 49 años (018)",182,180,2,9,21,18,55,46,23,6,2,902
"De 50 y más años (019)",2256,2241,28,144,223,286,736,518,250,56,15,10763
"Educacion Inicial (020)",15,13,,1,2,3,6,,1,,2,50
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",2,1,,,,1,,,,,1,3
"De 25 a 29 años (024)",4,4,,,1,1,2,,,,,15
