"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CORONGO (000)",2196,2125,7,338,371,312,465,350,206,76,71,8890
"De 12 a 14 años (001)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (002)",52,48,2,44,1,1,,,,,4,49
"De 20 a 24 años (003)",175,152,1,91,48,8,2,2,,,23,231
"De 25 a 29 años (004)",221,210,1,69,75,44,19,1,1,,11,448
"De 30 a 34 años (005)",230,221,,39,55,53,62,11,1,,9,659
"De 35 a 39 años (006)",257,251,,19,64,65,66,34,3,,6,871
"De 40 a 44 años (007)",217,215,,14,33,32,69,45,16,6,2,970
"De 45 a 49 años (008)",187,184,,10,25,20,52,43,27,7,3,934
"De 50 y más años (009)",855,843,3,51,70,89,195,214,158,63,12,4727
"Sin nivel (010)",580,568,1,27,50,70,118,151,103,48,12,3242
"De 15 a 19 años (012)",2,2,1,,,1,,,,,,3
"De 20 a 24 años (013)",16,13,,8,3,1,,1,,,3,23
"De 25 a 29 años (014)",10,10,,,5,4,1,,,,,26
"De 30 a 34 años (015)",21,21,,,6,5,9,1,,,,75
"De 35 a 39 años (016)",35,35,,1,2,12,9,11,,,,152
"De 40 a 44 años (017)",40,38,,,,2,13,16,5,2,2,231
"De 45 a 49 años (018)",35,35,,2,1,1,8,9,10,4,,226
"De 50 y más años (019)",421,414,,16,33,44,78,113,88,42,7,2506
"Educacion Inicial (020)",2,2,,1,1,,,,,,,3
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 30 a 34 años (025)",1,1,,,1,,,,,,,2
"Primaria (030)",983,972,3,123,141,144,269,170,97,25,11,4204
"De 12 a 14 años (031)",2,1,,1,,,,,,,1,1
