"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SANTA (000)",396434,392569,2846,1019
"Hombres (001)",197865,196118,1251,496
"Mujeres (002)",198569,196451,1595,523
"Menores de 1 año (003)",6705,5680,779,246
"Hombres (004)",3436,2908,410,118
"Mujeres (005)",3269,2772,369,128
"De 1 a 5 años (006)",34579,32640,1228,711
"Hombres (007)",17815,16819,634,362
"Mujeres (008)",16764,15821,594,349
"De 6 a 14 años (009)",69402,69323,58,21
"Hombres (010)",35175,35134,32,9
"Mujeres (011)",34227,34189,26,12
"De 15 a 29 años (012)",107674,107615,54,5
"Hombres (013)",53854,53833,20,1
"Mujeres (014)",53820,53782,34,4
"De 30 a 44 años (015)",86112,86067,45,
"Hombres (016)",42082,42068,14,
"Mujeres (017)",44030,43999,31,
"De 45 a 64 años (018)",64741,64583,148,10
"Hombres (019)",31435,31394,37,4
"Mujeres (020)",33306,33189,111,6
"De 65 a más años (021)",27221,26661,534,26
"Hombres (022)",14068,13962,104,2
"Mujeres (023)",13153,12699,430,24
,,,,
"URBANA (024)",370476,367027,2538,911
"Hombres (025)",183965,182371,1143,451
"Mujeres (026)",186511,184656,1395,460
"Menores de 1 año (027)",6259,5300,735,224
"Hombres (028)",3218,2717,390,111
"Mujeres (029)",3041,2583,345,113
"De 1 a 5 años (030)",31827,30056,1132,639
"Hombres (031)",16378,15466,585,327
"Mujeres (032)",15449,14590,547,312
"De 6 a 14 años (033)",64033,63971,48,14
"Hombres (034)",32312,32280,25,7
"Mujeres (035)",31721,31691,23,7
"De 15 a 29 años (036)",100950,100897,48,5
"Hombres (037)",50230,50211,18,1
"Mujeres (038)",50720,50686,30,4
"De 30 a 44 años (039)",81332,81302,30,
"Hombres (040)",39489,39478,11,
"Mujeres (041)",41843,41824,19,
"De 45 a 64 años (042)",60883,60775,100,8
"Hombres (043)",29334,29307,23,4
"Mujeres (044)",31549,31468,77,4
"De 65 a más años (045)",25192,24726,445,21
"Hombres (046)",13004,12912,91,1
"Mujeres (047)",12188,11814,354,20
,,,,
"RURAL (048)",25958,25542,308,108
"Hombres (049)",13900,13747,108,45
"Mujeres (050)",12058,11795,200,63
"Menores de 1 año (051)",446,380,44,22
"Hombres (052)",218,191,20,7
"Mujeres (053)",228,189,24,15
"De 1 a 5 años (054)",2752,2584,96,72
"Hombres (055)",1437,1353,49,35
"Mujeres (056)",1315,1231,47,37
"De 6 a 14 años (057)",5369,5352,10,7
"Hombres (058)",2863,2854,7,2
"Mujeres (059)",2506,2498,3,5
"De 15 a 29 años (060)",6724,6718,6,
"Hombres (061)",3624,3622,2,
"Mujeres (062)",3100,3096,4,
"De 30 a 44 años (063)",4780,4765,15,
"Hombres (064)",2593,2590,3,
"Mujeres (065)",2187,2175,12,
"De 45 a 64 años (066)",3858,3808,48,2
"Hombres (067)",2101,2087,14,
"Mujeres (068)",1757,1721,34,2
"De 65 a más años (069)",2029,1935,89,5
"Hombres (070)",1064,1050,13,1
"Mujeres (071)",965,885,76,4
