"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MAYNAS (000)",454800,24853,52278,56472,57352,88309,62921,91528,21087
"Sabe leer y escribir (001)",402241,,34623,55629,56920,87408,61914,87940,17807
"No sabe leer y escribir (002)",52559,24853,17655,843,432,901,1007,3588,3280
"Hombres (004)",229097,12678,26604,28591,28810,43739,30960,47268,10447
"Sabe leer y escribir (005)",204265,,17587,28145,28614,43371,30620,46314,9614
"No sabe leer y escribir (006)",24832,12678,9017,446,196,368,340,954,833
"Mujeres (008)",225703,12175,25674,27881,28542,44570,31961,44260,10640
"Sabe leer y escribir (009)",197976,,17036,27484,28306,44037,31294,41626,8193
"No sabe leer y escribir (010)",27727,12175,8638,397,236,533,667,2634,2447
,,,,,,,,,
"URBANA (012)",364258,18470,38823,42936,46861,73463,51626,75182,16897
"Sabe leer y escribir (013)",329588,,27648,42468,46602,73013,51202,73658,14997
"No sabe leer y escribir (014)",34670,18470,11175,468,259,450,424,1524,1900
"Hombres (016)",179646,9440,19727,21539,22897,35648,24715,37707,7973
"Sabe leer y escribir (017)",163120,,14039,21287,22776,35446,24568,37373,7631
"No sabe leer y escribir (018)",16526,9440,5688,252,121,202,147,334,342
"Mujeres (020)",184612,9030,19096,21397,23964,37815,26911,37475,8924
"Sabe leer y escribir (021)",166468,,13609,21181,23826,37567,26634,36285,7366
"No sabe leer y escribir (022)",18144,9030,5487,216,138,248,277,1190,1558
,,,,,,,,,
"RURAL (024)",90542,6383,13455,13536,10491,14846,11295,16346,4190
"Sabe leer y escribir (025)",72653,,6975,13161,10318,14395,10712,14282,2810
"No sabe leer y escribir (026)",17889,6383,6480,375,173,451,583,2064,1380
"Hombres (028)",49451,3238,6877,7052,5913,8091,6245,9561,2474
"Sabe leer y escribir (029)",41145,,3548,6858,5838,7925,6052,8941,1983
"No sabe leer y escribir (030)",8306,3238,3329,194,75,166,193,620,491
"Mujeres (032)",41091,3145,6578,6484,4578,6755,5050,6785,1716
"Sabe leer y escribir (033)",31508,,3427,6303,4480,6470,4660,5341,827
"No sabe leer y escribir (034)",9583,3145,3151,181,98,285,390,1444,889
