"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUSCO (000)",94543,89367,5176
"Casa independiente (001)",71175,66498,4677
"Departamento en edificio (002)",6354,6354,
"Vivienda en quinta (003)",5059,5059,
"Vivienda en casa de vecindad (004)",10991,10991,
"Choza o cabaña (005)",498,,498
"Vivienda improvisada (006)",198,198,
"Local no dest.para hab. humana (007)",136,135,1
"Otro tipo (008)",132,132,
