"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHOTA (000)",44960,76,3221,753,680,2368,18465,1789,1501,14832,138,1137
"Agric., ganadería, caza y silvicultura (001)",31232,,9,24,2,,18465,4,10,12718,,
"Explotación de minas y canteras (003)",338,,23,22,16,,,67,27,183,,
"Industrias manufactureras (004)",1647,,6,18,3,14,,1482,113,11,,
"Suministro de electricidad, gas y agua (005)",48,,1,3,3,,,12,13,16,,
"Construcción (006)",954,,40,26,16,,,49,523,300,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2389,,16,48,4,1871,,139,7,304,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",105,,4,1,,23,,69,5,3,,
"Comercio al por mayor (009)",63,,3,5,,50,,3,,2,,
"Comercio al por menor (010)",2221,,9,42,4,1798,,67,2,299,,
"Hoteles y restaurantes (011)",588,1,3,25,6,379,,,1,173,,
"Trans., almac. y comunicaciones (012)",898,,6,17,25,,,7,746,97,,
"Intermediación financiera (013)",23,,3,5,14,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",421,,105,76,98,41,,19,25,57,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",810,54,81,55,317,31,,3,28,103,138,
"Enseñanza (016)",2754,19,2659,14,51,,,,1,10,,
"Servicios sociales y de salud (017)",591,,218,307,42,8,,4,3,9,,
"Otras activ. serv.comun.soc y personales (018)",395,2,32,94,22,24,,3,4,214,,
"Hogares privados con servicio doméstico (019)",638,,,2,,,,,,636,,
"Actividad economica no especificada (021)",1234,,19,17,61,,,,,,,1137
"Hombres (022)",35404,58,1925,481,394,1090,17057,1001,1401,11514,136,347
"Agric., ganadería, caza y silvicultura (023)",27615,,9,22,2,,17057,4,10,10511,,
"Explotación de minas y canteras (025)",321,,18,21,11,,,67,27,177,,
"Industrias manufactureras (026)",764,,5,12,2,5,,702,30,8,,
"Suministro de electricidad, gas y agua (027)",47,,1,3,3,,,12,12,16,,
"Construcción (028)",940,,39,26,12,,,48,519,296,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1229,,10,34,3,906,,132,7,137,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",96,,4,1,,15,,68,5,3,,
"Comercio al por mayor (031)",45,,3,4,,34,,3,,1,,
"Comercio al por menor (032)",1088,,3,29,3,857,,61,2,133,,
"Hoteles y restaurantes (033)",150,1,1,18,5,91,,,1,33,,
"Trans., almac. y comunicaciones (034)",852,,5,11,15,,,7,737,77,,
"Intermediación financiera (035)",14,,2,4,7,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",326,,91,65,53,41,,19,22,35,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",639,42,68,35,204,31,,3,28,92,136,
"Enseñanza (038)",1585,13,1542,4,16,,,,1,9,,
"Servicios sociales y de salud (039)",265,,94,133,22,5,,4,3,4,,
"Otras activ. serv.comun.soc y personales (040)",221,2,28,78,10,11,,3,4,85,,
"Hogares privados con servicio doméstico (041)",34,,,1,,,,,,33,,
"Actividad economica no especificada (043)",402,,12,14,29,,,,,,,347
"Mujeres (044)",9556,18,1296,272,286,1278,1408,788,100,3318,2,790
"Agric., ganadería, caza y silvicultura (045)",3617,,,2,,,1408,,,2207,,
"Explotación de minas y canteras (047)",17,,5,1,5,,,,,6,,
"Industrias manufactureras (048)",883,,1,6,1,9,,780,83,3,,
"Suministro de electricidad, gas y agua (049)",1,,,,,,,,1,,,
"Construcción (050)",14,,1,,4,,,1,4,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1160,,6,14,1,965,,7,,167,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",9,,,,,8,,1,,,,
"Comercio al por mayor (053)",18,,,1,,16,,,,1,,
"Comercio al por menor (054)",1133,,6,13,1,941,,6,,166,,
"Hoteles y restaurantes (055)",438,,2,7,1,288,,,,140,,
"Trans., almac. y comunicaciones (056)",46,,1,6,10,,,,9,20,,
"Intermediación financiera (057)",9,,1,1,7,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",95,,14,11,45,,,,3,22,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",171,12,13,20,113,,,,,11,2,
