"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCABAMBA (000)",31314,28154,1597,681,882
"Sin nivel (001)",5062,4926,114,11,11
"Educación inicial (002)",45,45,,,
"Primaria (003)",16462,15767,560,70,65
"Secundaria (004)",5507,4931,299,109,168
"Superior no univ. incompleta (005)",791,578,85,39,89
"Superior no univ. completa (006)",1905,1143,274,188,300
"Superior univ. incompleta (007)",385,254,46,39,46
"Superior univ. completa (008)",1157,510,219,225,203
"De 06 a 14 años (010)",811,778,31,1,1
"Sin nivel (011)",71,69,2,,
"Educación inicial (012)",8,8,,,
"Primaria (013)",626,598,26,1,1
"Secundaria (014)",106,103,3,,
"De 15 a 29 años (020)",10257,9297,568,135,257
"Sin nivel (021)",776,751,23,,2
"Educación inicial (022)",28,28,,,
"Primaria (023)",5061,4830,200,15,16
"Secundaria (024)",3097,2841,177,36,43
"Superior no univ. incompleta (025)",356,288,37,9,22
"Superior no univ. completa (026)",551,340,79,38,94
"Superior univ. incompleta (027)",137,100,17,8,12
"Superior univ. completa (028)",251,119,35,29,68
"De 30 a 44 años (030)",9791,8407,599,360,425
"Sin nivel (031)",1425,1376,37,5,7
"Educación inicial (032)",9,9,,,
"Primaria (033)",4803,4589,161,27,26
"Secundaria (034)",1587,1387,78,51,71
"Superior no univ. incompleta (035)",294,196,36,24,38
"Superior no univ. completa (036)",914,522,131,95,166
"Superior univ. incompleta (037)",160,93,22,22,23
"Superior univ. completa (038)",599,235,134,136,94
"De 45 a 64 años (040)",7887,7182,346,177,182
"Sin nivel (041)",1770,1726,37,5,2
"Primaria (043)",4601,4424,141,20,16
"Secundaria (044)",630,520,38,22,50
"Superior no univ. incompleta (045)",122,76,11,6,29
"Superior no univ. completa (046)",400,246,63,55,36
"Superior univ. incompleta (047)",77,51,7,9,10
"Superior univ. completa (048)",287,139,49,60,39
"De 65 y más años (050)",2568,2490,53,8,17
"Sin nivel (051)",1020,1004,15,1,
"Primaria (053)",1371,1326,32,7,6
"Secundaria (054)",87,80,3,,4
"Superior no univ. incompleta (055)",19,18,1,,
"Superior no univ. completa (056)",40,35,1,,4
"Superior univ. incompleta (057)",11,10,,,1
"Superior univ. completa (058)",20,17,1,,2
,,,,,
