"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SAN IGNACIO (000)",44675,3274,7466,22293,886,9471,449,836
"Agric., ganadería, caza y silvicultura (001)",34615,34,6481,18486,772,8842,,
"Pesca (002)",7,,,6,1,,,
"Explotación de minas y canteras (003)",19,8,6,2,2,1,,
"Industrias manufactureras (004)",583,9,125,402,15,32,,
"Suministro de electricidad, gas y agua (005)",60,17,42,1,,,,
"Construcción (006)",671,33,454,155,11,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1962,220,26,1402,50,264,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",134,17,19,88,8,2,,
"Comercio al por mayor (009)",128,23,,80,6,19,,
"Comercio al por menor (010)",1700,180,7,1234,36,243,,
"Hoteles y restaurantes (011)",487,110,4,325,8,40,,
"Trans., almac. y comunicaciones (012)",789,205,111,451,3,19,,
"Intermediación financiera (013)",9,9,,,,,,
"Activid.inmobil., empres. y alquileres (014)",236,187,14,30,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",316,263,53,,,,,
"Enseñanza (016)",1739,1564,2,164,,9,,
"Servicios sociales y de salud (017)",267,237,2,26,,2,,
"Otras activ. serv.comun.soc y personales (018)",288,131,50,98,,9,,
"Hogares privados con servicio doméstico (019)",449,,,,,,449,
"Actividad economica no especificada (021)",1342,247,96,745,22,232,,
"Desocupado (022)",836,,,,,,,836
"Hombres (023)",35798,1794,6529,19405,816,6588,31,635
"Agric., ganadería, caza y silvicultura (024)",30054,29,5644,17228,740,6413,,
"Pesca (025)",6,,,5,1,,,
"Explotación de minas y canteras (026)",14,4,6,2,2,,,
"Industrias manufactureras (027)",422,6,100,282,14,20,,
"Suministro de electricidad, gas y agua (028)",58,15,42,1,,,,
"Construcción (029)",660,29,448,154,11,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1228,136,26,956,34,76,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",123,13,19,82,8,1,,
"Comercio al por mayor (032)",92,16,,66,4,6,,
"Comercio al por menor (033)",1013,107,7,808,22,69,,
"Hoteles y restaurantes (034)",101,38,1,52,2,8,,
"Trans., almac. y comunicaciones (035)",758,186,109,443,3,17,,
"Intermediación financiera (036)",6,6,,,,,,
"Activid.inmobil., empres. y alquileres (037)",131,94,11,23,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",273,224,49,,,,,
"Enseñanza (039)",823,753,1,67,,2,,
"Servicios sociales y de salud (040)",126,103,1,20,,2,,
"Otras activ. serv.comun.soc y personales (041)",159,82,36,37,,4,,
"Hogares privados con servicio doméstico (042)",31,,,,,,31,
"Actividad economica no especificada (044)",313,89,55,135,7,27,,
"Desocupado (045)",635,,,,,,,635
"Mujeres (046)",8877,1480,937,2888,70,2883,418,201
"Agric., ganadería, caza y silvicultura (047)",4561,5,837,1258,32,2429,,
"Pesca (048)",1,,,1,,,,
"Explotación de minas y canteras (049)",5,4,,,,1,,
"Industrias manufactureras (050)",161,3,25,120,1,12,,
"Suministro de electricidad, gas y agua (051)",2,2,,,,,,
"Construcción (052)",11,4,6,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",734,84,,446,16,188,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,4,,6,,1,,
"Comercio al por mayor (055)",36,7,,14,2,13,,
"Comercio al por menor (056)",687,73,,426,14,174,,
"Hoteles y restaurantes (057)",386,72,3,273,6,32,,
"Trans., almac. y comunicaciones (058)",31,19,2,8,,2,,
"Intermediación financiera (059)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (060)",105,93,3,7,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",43,39,4,,,,,
"Enseñanza (062)",916,811,1,97,,7,,
"Servicios sociales y de salud (063)",141,134,1,6,,,,
"Otras activ. serv.comun.soc y personales (064)",129,49,14,61,,5,,
"Hogares privados con servicio doméstico (065)",418,,,,,,418,
"Actividad economica no especificada (067)",1029,158,41,610,15,205,,
"Desocupado (068)",201,,,,,,,201
,,,,,,,,
"URBANA (069)",7802,1964,1098,3418,188,698,178,258
"Agric., ganadería, caza y silvicultura (070)",2643,22,549,1539,102,431,,
"Pesca (071)",2,,,1,1,,,
"Explotación de minas y canteras (072)",5,1,2,1,1,,,
"Industrias manufactureras (073)",327,5,61,234,11,16,,
"Suministro de electricidad, gas y agua (074)",33,8,25,,,,,
"Construcción (075)",420,29,271,105,8,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1151,168,16,772,42,153,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",100,10,11,69,8,2,,
"Comercio al por mayor (078)",70,18,,42,3,7,,
"Comercio al por menor (079)",981,140,5,661,31,144,,
"Hoteles y restaurantes (080)",293,86,1,175,6,25,,
"Trans., almac. y comunicaciones (081)",457,130,56,261,2,8,,
"Intermediación financiera (082)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (083)",194,157,5,27,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",259,217,42,,,,,
"Enseñanza (085)",860,787,1,69,,3,,
"Servicios sociales y de salud (086)",151,129,2,19,,1,,
"Otras activ. serv.comun.soc y personales (087)",197,102,23,67,,5,,
"Hogares privados con servicio doméstico (088)",178,,,,,,178,
"Actividad economica no especificada (090)",366,115,44,148,13,46,,
"Desocupado (091)",258,,,,,,,258
"Hombres (092)",5404,1089,999,2609,150,378,6,173
"Agric., ganadería, caza y silvicultura (093)",2282,19,484,1396,92,291,,
"Pesca (094)",1,,,,1,,,
"Explotación de minas y canteras (095)",5,1,2,1,1,,,
"Industrias manufactureras (096)",238,3,52,160,10,13,,
"Suministro de electricidad, gas y agua (097)",31,6,25,,,,,
"Construcción (098)",414,26,268,105,8,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",713,102,16,526,29,40,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",92,7,11,65,8,1,,
"Comercio al por mayor (101)",52,14,,35,2,1,,
"Comercio al por menor (102)",569,81,5,426,19,38,,
"Hoteles y restaurantes (103)",76,28,1,38,1,8,,
"Trans., almac. y comunicaciones (104)",427,111,55,253,2,6,,
"Intermediación financiera (105)",5,5,,,,,,
"Activid.inmobil., empres. y alquileres (106)",109,80,4,22,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",227,189,38,,,,,
"Enseñanza (108)",392,361,1,30,,,,
"Servicios sociales y de salud (109)",73,57,1,14,,1,,
"Otras activ. serv.comun.soc y personales (110)",98,58,17,21,,2,,
"Hogares privados con servicio doméstico (111)",6,,,,,,6,
"Actividad economica no especificada (113)",134,43,35,43,4,9,,
"Desocupado (114)",173,,,,,,,173
"Mujeres (115)",2398,875,99,809,38,320,172,85
"Agric., ganadería, caza y silvicultura (116)",361,3,65,143,10,140,,
"Pesca (117)",1,,,1,,,,
