"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAYLAS (000)",721,21,391,180,102,27
"Conviviente (001)",157,2,80,58,13,4
"Separado(a) (002)",15,,4,3,4,4
"Casado(a) (003)",163,,19,63,69,12
"Viudo(a) (004)",14,,,,9,5
"Divorciado(a) (005)",2,,,2,,
"Soltero(a) (006)",370,19,288,54,7,2
"Hombres (008)",567,14,288,144,97,24
"Conviviente (009)",119,2,55,46,12,4
"Separado(a) (010)",8,,,2,2,4
"Casado(a) (011)",151,,15,58,67,11
"Viudo(a) (012)",12,,,,9,3
"Divorciado(a) (013)",2,,,2,,
"Soltero(a) (014)",275,12,218,36,7,2
"Mujeres (016)",154,7,103,36,5,3
"Conviviente (017)",38,,25,12,1,
"Separado(a) (018)",7,,4,1,2,
"Casado(a) (019)",12,,4,5,2,1
"Viudo(a) (020)",2,,,,,2
"Soltero(a) (022)",95,7,70,18,,
,,,,,,
"AREA URBANA (024)",369,5,197,105,47,15
"Conviviente (025)",92,1,38,41,10,2
"Separado(a) (026)",8,,4,1,1,2
"Casado(a) (027)",72,,10,28,27,7
"Viudo(a) (028)",8,,,,5,3
"Divorciado(a) (029)",2,,,2,,
"Soltero(a) (030)",187,4,145,33,4,1
"Hombres (032)",255,3,122,74,44,12
"Conviviente (033)",58,1,15,31,9,2
"Separado(a) (034)",3,,,,1,2
"Casado(a) (035)",61,,7,23,25,6
"Viudo(a) (036)",6,,,,5,1
"Divorciado(a) (037)",2,,,2,,
"Soltero(a) (038)",125,2,100,18,4,1
"Mujeres (040)",114,2,75,31,3,3
"Conviviente (041)",34,,23,10,1,
"Separado(a) (042)",5,,4,1,,
"Casado(a) (043)",11,,3,5,2,1
"Viudo(a) (044)",2,,,,,2
"Soltero(a) (046)",62,2,45,15,,
,,,,,,
"AREA RURAL (048)",352,16,194,75,55,12
"Conviviente (049)",65,1,42,17,3,2
"Separado(a) (050)",7,,,2,3,2
"Casado(a) (051)",91,,9,35,42,5
"Viudo(a) (052)",6,,,,4,2
"Soltero(a) (054)",183,15,143,21,3,1
"Hombres (056)",312,11,166,70,53,12
"Conviviente (057)",61,1,40,15,3,2
"Separado(a) (058)",5,,,2,1,2
"Casado(a) (059)",90,,8,35,42,5
"Viudo(a) (060)",6,,,,4,2
"Soltero(a) (062)",150,10,118,18,3,1
"Mujeres (064)",40,5,28,5,2,
"Conviviente (065)",4,,2,2,,
"Separado(a) (066)",2,,,,2,
"Casado(a) (067)",1,,1,,,
"Soltero(a) (070)",33,5,25,3,,
