"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARMEY (000)",8039,5577,2462
"Casa independiente (001)",7665,5395,2270
"Departamento en edificio (002)",14,14,
"Vivienda en quinta (003)",67,67,
"Vivienda en casa de vecindad (004)",49,49,
"Choza o cabaña (005)",191,,191
"Vivienda improvisada (006)",46,46,
"Local no dest.para hab. humana (007)",7,6,1
