"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia OTUZCO (000)",22714,155,576,1471,2568,4494,8535,4915
"De 12 a 14 años (001)",39,,,,,,4,35
"De 15 a 19 años (002)",727,,,,,,470,257
"De 20 a 24 años (003)",2485,,,,,8,1625,852
"De 25 a 29 años (004)",2688,,,,,141,1881,666
"De 30 a 34 años (005)",2773,,,,2,452,1806,513
"De 35 a 39 años (006)",2604,,,,29,806,1380,389
"De 40 a 44 años (007)",2168,,,,136,858,836,338
"De 45 a 49 años (008)",1897,,,11,251,927,428,280
"De 50 y más años (009)",7333,155,576,1460,2150,1302,105,1585
"Sin nivel (010)",6882,117,359,783,1140,1386,1621,1476
"De 12 a 14 años (011)",2,,,,,,1,1
"De 15 a 19 años (012)",46,,,,,,31,15
"De 20 a 24 años (013)",237,,,,,,155,82
"De 25 a 29 años (014)",307,,,,,10,225,72
"De 30 a 34 años (015)",537,,,,1,70,379,87
"De 35 a 39 años (016)",598,,,,5,159,346,88
"De 40 a 44 años (017)",602,,,,30,227,257,88
"De 45 a 49 años (018)",648,,,2,67,307,176,96
"De 50 y más años (019)",3905,117,359,781,1037,613,51,947
"Educacion Inicial (020)",53,,,,,5,35,13
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",13,,,,,,9,4
"De 25 a 29 años (024)",11,,,,,1,8,2
"De 30 a 34 años (025)",15,,,,,1,8,6
"De 35 a 39 años (026)",13,,,,,3,10,
"Primaria (030)",12437,36,200,633,1278,2506,5345,2439
"De 12 a 14 años (031)",30,,,,,,3,27
"De 15 a 19 años (032)",494,,,,,,315,179
"De 20 a 24 años (033)",1577,,,,,8,1089,480
"De 25 a 29 años (034)",1743,,,,,87,1281,375
"De 30 a 34 años (035)",1660,,,,1,285,1087,287
"De 35 a 39 años (036)",1535,,,,22,499,807,207
"De 40 a 44 años (037)",1239,,,,83,494,487,175
"De 45 a 49 años (038)",1029,,,7,149,502,226,145
"De 50 y más años (039)",3130,36,200,626,1023,631,50,564
"Secundaria (040)",1911,,6,25,101,346,951,482
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",171,,,,,,115,56
"De 20 a 24 años (043)",440,,,,,,275,165
"De 25 a 29 años (044)",325,,,,,30,213,82
"De 30 a 34 años (045)",276,,,,,52,169,55
"De 35 a 39 años (046)",229,,,,,87,113,29
"De 40 a 44 años (047)",173,,,,18,74,49,32
"De 45 a 49 años (048)",128,,,1,25,72,14,16
"De 50 y más años (049)",162,,6,24,58,31,3,40
"Sup. no Univ. incompleta (050)",250,,,1,10,28,110,101
