"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CANCHIS (000)",26133,96224,15250,57645,10883,38579
"Casa independiente (001)",21672,81856,11790,46286,9882,35570
"Departamento en edificio (002)",74,265,74,265,,
"Vivienda en quinta (003)",274,910,274,910,,
"Vivienda en casa de vecindad (004)",3092,10131,3092,10131,,
"Choza o cabaña (005)",994,2990,,,994,2990
"Vivienda improvisada (006)",4,11,4,11,,
"Local no dest.para hab. humana (007)",17,51,11,34,6,17
"Otro tipo (008)",6,10,5,8,1,2
