"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BARRANCA (000)",52177,120185,110845,,2040,92.2,1.7
"De 12 a 14 años (001)",4197,18,18,,2,100,11.1
"De 15 a 19 años (002)",6546,879,872,270,99.2,30.7,
"De 20 a 24 años (003)",5873,3878,3831,551,98.8,14.2,
"De 25 a 29 años (004)",5491,6860,6743,488,98.3,7.1,
"De 30 a 34 años (005)",4995,9344,9152,396,97.9,4.2,
"De 35 a 39 años (006)",4719,11377,11068,240,97.3,2.1,
"De 40 a 44 años (007)",4167,12109,11617,83,95.9,0.7,
"De 45 a 49 años (008)",3429,12052,11377,10,94.4,0.1,
"De 50 y más años (009)",12760,63668,56167,,88.2,,
"PEA (010)",17210,37585,35471,417,94.4,1.1,
"De 12 a 14 años (011)",119,3,3,,100,,
"De 15 a 19 años (012)",1147,158,158,26,100,16.5,
"De 20 a 24 años (013)",2163,1046,1032,82,98.7,7.8,
"De 25 a 29 años (014)",2283,2271,2247,99,98.9,4.4,
"De 30 a 34 años (015)",2235,3680,3616,103,98.3,2.8,
"De 35 a 39 años (016)",2321,5203,5056,77,97.2,1.5,
"De 40 a 44 años (017)",2055,5586,5387,22,96.4,0.4,
"De 45 a 49 años (018)",1619,5261,4976,8,94.6,0.2,
"De 50 y más años (019)",3268,14377,12996,,90.4,,
"Ocupada (020)",16608,36860,34768,399,94.3,1.1,
"De 12 a 14 años (021)",105,2,2,,100,,
"De 15 a 19 años (022)",1039,147,147,23,100,15.6,
"De 20 a 24 años (023)",2030,1004,990,78,98.6,7.8,
"De 25 a 29 años (024)",2176,2173,2149,95,98.9,4.4,
"De 30 a 34 años (025)",2162,3595,3532,101,98.2,2.8,
"De 35 a 39 años (026)",2270,5091,4944,72,97.1,1.4,
"De 40 a 44 años (027)",2011,5462,5265,22,96.4,0.4,
"De 45 a 49 años (028)",1586,5166,4888,8,94.6,0.2,
"De 50 y más años (029)",3229,14220,12851,,90.4,,
"Desocupada (030)",602,725,703,18,97,2.5,
"De 12 a 14 años (031)",14,1,1,,100,,
"De 15 a 19 años (032)",108,11,11,3,100,27.3,
"De 20 a 24 años (033)",133,42,42,4,100,9.5,
"De 25 a 29 años (034)",107,98,98,4,100,4.1,
"De 30 a 34 años (035)",73,85,84,2,98.8,2.4,
