"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia NAZCA (000)",15292,55899,13245,48937,2047,6962
"Casa independiente (001)",13853,51819,12157,46021,1696,5798
"Departamento en edificio (002)",115,361,115,361,,
"Vivienda en quinta (003)",249,661,249,661,,
"Vivienda en casa de vecindad (004)",180,509,180,509,,
"Choza o cabaña (005)",349,1155,,,349,1155
"Vivienda improvisada (006)",390,1005,390,1005,,
"Local no dest.para hab. humana (007)",32,84,31,78,1,6
"Otro tipo (008)",124,305,123,302,1,3
