"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia GRAN CHIMU (000)",10194,29458,26523,,597,90,2
"De 12 a 14 años (001)",1054,9,9,,2,100,22.2
"De 15 a 19 años (002)",1313,295,284,85,96.3,28.8,
"De 20 a 24 años (003)",1013,1089,1062,145,97.5,13.3,
"De 25 a 29 años (004)",966,1738,1668,123,96,7.1,
"De 30 a 34 años (005)",942,2420,2327,131,96.2,5.4,
"De 35 a 39 años (006)",877,2937,2778,75,94.6,2.6,
"De 40 a 44 años (007)",796,3052,2896,33,94.9,1.1,
"De 45 a 49 años (008)",720,3297,3038,3,92.1,0.1,
"De 50 y más años (009)",2513,14621,12461,,85.2,,
"PEA (010)",1506,3429,3216,59,93.8,1.7,
"De 12 a 14 años (011)",24,3,3,,100,,
"De 15 a 19 años (012)",124,21,19,4,90.5,19,
"De 20 a 24 años (013)",174,107,106,16,99.1,15,
"De 25 a 29 años (014)",180,178,175,9,98.3,5.1,
"De 30 a 34 años (015)",209,351,346,16,98.6,4.6,
"De 35 a 39 años (016)",189,431,417,11,96.8,2.6,
"De 40 a 44 años (017)",183,573,557,3,97.2,0.5,
"De 45 a 49 años (018)",160,589,548,,93,,
"De 50 y más años (019)",263,1176,1045,,88.9,,
"Ocupada (020)",1449,3405,3192,58,93.7,1.7,
"De 12 a 14 años (021)",16,3,3,,100,,
"De 15 a 19 años (022)",106,20,18,4,90,20,
"De 20 a 24 años (023)",158,103,102,15,99,14.6,
"De 25 a 29 años (024)",173,174,171,9,98.3,5.2,
"De 30 a 34 años (025)",206,349,344,16,98.6,4.6,
"De 35 a 39 años (026)",186,421,407,11,96.7,2.6,
"De 40 a 44 años (027)",182,572,556,3,97.2,0.5,
"De 45 a 49 años (028)",159,587,546,,93,,
"De 50 y más años (029)",263,1176,1045,,88.9,,
"Desocupada (030)",57,24,24,1,100,4.2,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",18,1,1,,100,,
"De 20 a 24 años (033)",16,4,4,1,100,25,
"De 25 a 29 años (034)",7,4,4,,100,,
"De 30 a 34 años (035)",3,2,2,,100,,
"De 35 a 39 años (036)",3,10,10,,100,,
"De 40 a 44 años (037)",1,1,1,,100,,
"De 45 a 49 años (038)",1,2,2,,100,,
