"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PACASMAYO (000)",93464,86805,6659
"Casa independiente (001)",91935,85318,6617
"Departamento en edificio (002)",278,278,
"Vivienda en quinta (003)",785,785,
"Vivienda en casa de vecindad (004)",312,312,
"Choza o cabaña (005)",42,,42
"Vivienda improvisada (006)",26,26,
"Local no dest.para hab. humana (007)",85,85,
"Otro tipo (008)",1,1,
