"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SECHURA (000)",19149,34,927,591,574,2949,5133,1545,2360,4718,56,262
"Agric., ganadería, caza y silvicultura (001)",4358,,3,2,3,,2716,,3,1631,,
"Pesca (002)",3946,1,5,20,7,,2417,13,101,1382,,
"Explotación de minas y canteras (003)",24,,3,5,4,,,5,3,4,,
"Industrias manufactureras (004)",1675,,21,54,16,8,,1220,298,58,,
"Suministro de electricidad, gas y agua (005)",25,,1,4,3,,,4,7,6,,
"Construcción (006)",636,,6,17,7,,,63,388,155,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3032,,14,59,17,2345,,217,33,347,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",248,,2,5,2,37,,184,11,7,,
"Comercio al por mayor (009)",335,,2,10,8,275,,2,10,28,,
"Comercio al por menor (010)",2449,,10,44,7,2033,,31,12,312,,
"Hoteles y restaurantes (011)",713,,2,27,20,478,,1,,185,,
"Trans., almac. y comunicaciones (012)",1680,1,4,42,20,2,,3,1443,165,,
"Intermediación financiera (013)",34,,3,7,23,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",403,,70,97,63,54,,8,11,100,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",704,22,43,59,329,14,,5,60,116,56,
"Enseñanza (016)",663,8,628,4,14,,,2,,7,,
"Servicios sociales y de salud (017)",138,,34,80,8,8,,1,2,5,,
"Otras activ. serv.comun.soc y personales (018)",429,2,90,113,37,40,,3,11,133,,
"Hogares privados con servicio doméstico (019)",423,,,,,,,,,423,,
"Actividad economica no especificada (021)",266,,,1,3,,,,,,,262
"Hombres (022)",13965,29,457,349,205,974,5015,899,2297,3614,55,71
"Agric., ganadería, caza y silvicultura (023)",4124,,2,2,1,,2629,,3,1487,,
"Pesca (024)",3880,1,5,16,2,,2386,13,101,1356,,
"Explotación de minas y canteras (025)",20,,2,4,2,,,5,3,4,,
"Industrias manufactureras (026)",943,,19,38,12,5,,581,258,30,,
"Suministro de electricidad, gas y agua (027)",23,,1,4,1,,,4,7,6,,
"Construcción (028)",620,,6,16,1,,,63,383,151,,
