"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia OTUZCO (000)",21965,88633,5699,21010,16266,67623
"Casa independiente (001)",21690,87585,5569,20502,16121,67083
"Departamento en edificio (002)",23,55,23,55,,
"Vivienda en quinta (003)",28,123,28,123,,
"Vivienda en casa de vecindad (004)",73,307,73,307,,
"Choza o cabaña (005)",142,532,,,142,532
"Vivienda improvisada (006)",3,12,3,12,,
"Local no dest.para hab. humana (007)",2,6,1,5,1,1
"Otro tipo (008)",4,13,2,6,2,7
