"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MORROPON (000)",38414,159347,22201,91452,16213,67895
"Casa independiente (001)",37523,155615,22058,90986,15465,64629
"Departamento en edificio (002)",24,94,24,94,,
"Vivienda en quinta (003)",35,97,35,97,,
"Vivienda en casa de vecindad (004)",53,175,53,175,,
"Choza o cabaña (005)",745,3260,,,745,3260
"Vivienda improvisada (006)",18,64,18,64,,
"Local no dest.para hab. humana (007)",13,31,11,29,2,2
"Otro tipo (008)",3,11,2,7,1,4
