"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANCHEZ CARRION (000)",1672,642,1030
"Sin nivel (001)",219,79,140
"Educación inicial (002)",5,2,3
"Primaria (003)",845,342,503
"Secundaria (004)",370,154,216
"Superior no univ. incompleta (005)",36,10,26
"Superior no univ. completa (006)",109,31,78
"Superior univ. incompleta (007)",44,15,29
"Superior univ. completa (008)",44,9,35
"De 14 a 29 años (010)",1024,472,552
"Sin nivel (011)",86,41,45
"Educación inicial (012)",5,2,3
"Primaria (013)",489,240,249
"Secundaria (014)",302,138,164
"Superior no univ. incompleta (015)",22,8,14
"Superior no univ. completa (016)",72,27,45
"Superior univ. incompleta (017)",28,12,16
"Superior univ. completa (018)",20,4,16
"De 30 a 44 años (020)",422,139,283
"Sin nivel (021)",78,30,48
"Primaria (023)",225,82,143
"Secundaria (024)",50,15,35
"Superior no univ. incompleta (025)",10,2,8
"Superior no univ. completa (026)",32,4,28
"Superior univ. incompleta (027)",10,3,7
"Superior univ. completa (028)",17,3,14
"De 45 a 64 años (030)",185,31,154
"Sin nivel (031)",43,8,35
"Primaria (033)",105,20,85
"Secundaria (034)",17,1,16
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",5,,5
"Superior univ. incompleta (037)",4,,4
"Superior univ. completa (038)",7,2,5
"De 65 y más años (040)",41,,41
"Sin nivel (041)",12,,12
"Primaria (043)",26,,26
"Secundaria (044)",1,,1
"Superior univ. incompleta (047)",2,,2
,,,
"AREA URBANA (050)",750,221,529
"Sin nivel (051)",62,16,46
"Educación inicial (052)",3,2,1
"Primaria (053)",225,59,166
"Secundaria (054)",249,91,158
"Superior no univ. incompleta (055)",32,7,25
"Superior no univ. completa (056)",98,25,73
"Superior univ. incompleta (057)",42,14,28
"Superior univ. completa (058)",39,7,32
"De 14 a 29 años (060)",442,161,281
"Sin nivel (061)",17,4,13
"Educación inicial (062)",3,2,1
"Primaria (063)",96,32,64
"Secundaria (064)",202,83,119
"Superior no univ. incompleta (065)",19,6,13
"Superior no univ. completa (066)",63,21,42
"Superior univ. incompleta (067)",26,11,15
"Superior univ. completa (068)",16,2,14
"De 30 a 44 años (070)",200,49,151
"Sin nivel (071)",26,10,16
"Primaria (073)",75,20,55
"Secundaria (074)",33,8,25
"Superior no univ. incompleta (075)",9,1,8
"Superior no univ. completa (076)",31,4,27
"Superior univ. incompleta (077)",10,3,7
"Superior univ. completa (078)",16,3,13
"De 45 a 64 años (080)",91,11,80
"Sin nivel (081)",16,2,14
"Primaria (083)",43,7,36
"Secundaria (084)",13,,13
"Superior no univ. incompleta (085)",4,,4
"Superior no univ. completa (086)",4,,4
"Superior univ. incompleta (087)",4,,4
"Superior univ. completa (088)",7,2,5
"De 65 y más años (090)",17,,17
"Sin nivel (091)",3,,3
"Primaria (093)",11,,11
"Secundaria (094)",1,,1
"Superior univ. incompleta (097)",2,,2
,,,
"AREA RURAL (100)",922,421,501
"Sin nivel (101)",157,63,94
"Educación inicial (102)",2,,2
"Primaria (103)",620,283,337
"Secundaria (104)",121,63,58
"Superior no univ. incompleta (105)",4,3,1
"Superior no univ. completa (106)",11,6,5
"Superior univ. incompleta (107)",2,1,1
"Superior univ. completa (108)",5,2,3
"De 14 a 29 años (110)",582,311,271
"Sin nivel (111)",69,37,32
"Educación inicial (112)",2,,2
"Primaria (113)",393,208,185
"Secundaria (114)",100,55,45
"Superior no univ. incompleta (115)",3,2,1
"Superior no univ. completa (116)",9,6,3
"Superior univ. incompleta (117)",2,1,1
"Superior univ. completa (118)",4,2,2
"De 30 a 44 años (120)",222,90,132
"Sin nivel (121)",52,20,32
"Primaria (123)",150,62,88
"Secundaria (124)",17,7,10
"Superior no univ. incompleta (125)",1,1,
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",94,20,74
"Sin nivel (131)",27,6,21
"Primaria (133)",62,13,49
"Secundaria (134)",4,1,3
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",24,,24
"Sin nivel (141)",9,,9
"Primaria (143)",15,,15
