"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGUYO (000)",19018,16947,1122,346,603
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,,3,5,30
"Profes., científicos e intelectuales (002)",833,196,223,207,207
"Técnicos de nivel medio y trab. asimilados (003)",137,69,14,11,43
"Jefes y empleados de oficina (004)",168,24,12,10,122
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2097,1987,89,9,12
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7149,6985,164,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1347,1188,134,16,9
"Obreros construc.,conf.,papel, fab., instr. (008)",1157,902,183,52,20
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5673,5306,281,29,57
"Otra (010)",97,,,,97
"Ocupación no especificada (011)",322,290,19,7,6
"Hombres (012)",10843,9350,778,246,469
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",34,,2,5,27
"Profes., científicos e intelectuales (014)",517,113,134,130,140
"Técnicos de nivel medio y trab. asimilados (015)",95,51,11,7,26
"Jefes y empleados de oficina (016)",122,16,9,6,91
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",893,838,40,6,9
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4879,4757,122,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",983,853,109,13,8
"Obreros construc.,conf.,papel, fab., instr. (020)",1118,865,182,51,20
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1978,1750,158,24,46
"Otra (022)",96,,,,96
"Ocupación no especificada (023)",128,107,11,4,6
"Mujeres (024)",8175,7597,344,100,134
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,1,,3
"Profes., científicos e intelectuales (026)",316,83,89,77,67
"Técnicos de nivel medio y trab. asimilados (027)",42,18,3,4,17
"Jefes y empleados de oficina (028)",46,8,3,4,31
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1204,1149,49,3,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2270,2228,42,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",364,335,25,3,1
"Obreros construc.,conf.,papel, fab., instr. (032)",39,37,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3695,3556,123,5,11
